i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 8,0, 299,8
109, 14.5,-0.975,0.03, 5,0, 175,5
121, 14.5,0,0.03, 14,0, 224,6
133, 14.5,0.975,0.03, 11,0, 207,4
145, 14.5,2.25,0.03, 11,1, 310,14
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 7,0, 117,5
110, 31,-0.975,0.03, 5,0, 59,8
122, 31,0,0.03, 9,2, 83,8
134, 31,0.975,0.03, 1,0, 46,3
146, 31,2.25,0.03, 5,0, 107,3
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 5,0, 77,6
111, 35,-0.975,0.03, 3,0, 61,7
123, 35,0,0.03, 7,1, 72,7
135, 35,0.975,0.03, 7,1, 65,3
147, 35,2.25,0.03, 6,0, 107,5
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 3,0, 75,10
112, 38.5,-0.975,0.03, 0,0, 44,5
124, 38.5,0,0.03, 4,0, 70,10
136, 38.5,0.975,0.03, 3,0, 50,3
148, 38.5,2.25,0.03, 1,0, 75,8
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 5,0, 88,8
113, 41.5,-0.975,0.03, 4,1, 59,5
125, 41.5,0,0.03, 6,0, 71,6
137, 41.5,0.975,0.03, 3,0, 76,4
149, 41.5,2.25,0.03, 5,0, 97,7
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 2,0, 63,2
114, 44,-0.975,0.03, 2,0, 35,2
126, 44,0,0.03, 2,0, 42,4
138, 44,0.975,0.03, 3,0, 30,3
150, 44,2.25,0.03, 1,0, 73,4
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 3,0, 75,5
115, 46.5,-0.975,0.03, 6,0, 49,2
127, 46.5,0,0.03, 3,1, 64,6
139, 46.5,0.975,0.03, 3,0, 56,4
151, 46.5,2.25,0.03, 1,0, 112,9
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 7,0, 222,18
116, 52,-0.975,0.03, 9,1, 142,10
128, 52,0,0.03, 6,2, 144,10
140, 52,0.975,0.03, 11,1, 137,10
152, 52,2.25,0.03, 7,1, 247,11
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 3,0, 146,8
117, 59.5,-0.975,0.03, 8,1, 102,7
