i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 39,1, 3928,37
109, 14.5,-0.975,0.03, 25,3, 3526,75
121, 14.5,0,0.03, 23,2, 3734,98
133, 14.5,0.975,0.03, 20,3, 3402,59
145, 14.5,2.25,0.03, 36,0, 3833,53
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 4,0, 1821,39
110, 31,-0.975,0.03, 8,2, 1079,39
122, 31,0,0.03, 10,4, 875,47
134, 31,0.975,0.03, 4,1, 1022,32
146, 31,2.25,0.03, 8,0, 1658,36
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 10,1, 855,37
111, 35,-0.975,0.03, 5,3, 557,36
123, 35,0,0.03, 4,1, 410,42
135, 35,0.975,0.03, 7,0, 467,38
147, 35,2.25,0.03, 10,0, 781,32
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 2,0, 419,33
112, 38.5,-0.975,0.03, 6,0, 246,21
124, 38.5,0,0.03, 4,0, 287,43
136, 38.5,0.975,0.03, 3,0, 271,38
148, 38.5,2.25,0.03, 5,0, 443,21
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 10,1, 367,30
113, 41.5,-0.975,0.03, 4,1, 210,24
125, 41.5,0,0.03, 3,0, 277,37
137, 41.5,0.975,0.03, 4,0, 244,34
149, 41.5,2.25,0.03, 6,1, 407,26
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 3,0, 240,19
114, 44,-0.975,0.03, 1,0, 149,21
126, 44,0,0.03, 3,0, 168,29
138, 44,0.975,0.03, 3,0, 146,18
150, 44,2.25,0.03, 2,0, 260,19
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 6,0, 341,24
115, 46.5,-0.975,0.03, 5,0, 208,20
127, 46.5,0,0.03, 6,0, 212,27
139, 46.5,0.975,0.03, 5,1, 228,34
151, 46.5,2.25,0.03, 3,0, 318,17
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 8,0, 703,48
116, 52,-0.975,0.03, 12,1, 500,62
128, 52,0,0.03, 5,2, 469,72
140, 52,0.975,0.03, 8,1, 473,47
152, 52,2.25,0.03, 11,2, 754,38
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 9,1, 411,26
117, 59.5,-0.975,0.03, 8,1, 286,39
129, 59.5,0,0.03, 8,1, 295,34
141, 59.5,0.975,0.03, 8,1, 287,29
153, 59.5,2.25,0.03, 8,1, 490,31
165, 59.5,3.6,0.03, 0,0, 0,0
106, 281.5,-2.25,0.03, 62,1, 1991,97
118, 281.5,-0.975,0.03, 66,4, 1359,97
130, 281.5,0,0.03, 94,3, 1657,99
142, 281.5,0.975,0.03, 64,3, 1402,94
154, 281.5,2.25,0.03, 74,1, 2141,85
166, 281.5,3.6,0.03, 0,0, 0,0
181, 14.5,-2.25,0.065, 27,0, 2097,27
193, 14.5,-0.975,0.065, 15,1, 2191,39
205, 14.5,0,0.065, 26,2, 2147,62
217, 14.5,0.975,0.065, 18,2, 2180,45
229, 14.5,2.25,0.065, 26,0, 2112,27
241, 14.5,3.6,0.065, 0,0, 0,0
182, 31,-2.25,0.065, 14,1, 1018,19
194, 31,-0.975,0.065, 10,0, 757,29
206, 31,0,0.065, 12,1, 554,28
218, 31,0.975,0.065, 11,2, 690,34
230, 31,2.25,0.065, 4,0, 975,16
242, 31,3.6,0.065, 0,0, 0,0
183, 35,-2.25,0.065, 9,1, 581,24
195, 35,-0.975,0.065, 11,1, 453,43
207, 35,0,0.065, 9,0, 345,40
219, 35,0.975,0.065, 8,0, 409,21
231, 35,2.25,0.065, 10,1, 506,15
243, 35,3.6,0.065, 0,0, 0,0
184, 38.5,-2.25,0.065, 7,1, 364,26
196, 38.5,-0.975,0.065, 3,0, 228,19
208, 38.5,0,0.065, 10,2, 258,30
220, 38.5,0.975,0.065, 4,0, 232,32
232, 38.5,2.25,0.065, 10,0, 288,10
244, 38.5,3.6,0.065, 0,0, 0,0
185, 41.5,-2.25,0.065, 7,1, 310,18
197, 41.5,-0.975,0.065, 4,0, 257,18
209, 41.5,0,0.065, 5,0, 212,22
221, 41.5,0.975,0.065, 4,0, 251,23
233, 41.5,2.25,0.065, 6,0, 298,17
245, 41.5,3.6,0.065, 0,0, 0,0
186, 44,-2.25,0.065, 4,1, 231,22
198, 44,-0.975,0.065, 2,0, 137,13
210, 44,0,0.065, 7,1, 172,19
222, 44,0.975,0.065, 3,0, 136,13
234, 44,2.25,0.065, 9,2, 191,11
246, 44,3.6,0.065, 0,0, 0,0
187, 46.5,-2.25,0.065, 9,1, 309,17
199, 46.5,-0.975,0.065, 5,1, 209,17
211, 46.5,0,0.065, 4,0, 185,19
223, 46.5,0.975,0.065, 5,0, 172,15
235, 46.5,2.25,0.065, 7,2, 280,22
247, 46.5,3.6,0.065, 0,0, 0,0
188, 52,-2.25,0.065, 13,0, 542,29
200, 52,-0.975,0.065, 18,2, 459,43
212, 52,0,0.065, 20,2, 460,33
224, 52,0.975,0.065, 24,1, 446,27
236, 52,2.25,0.065, 10,0, 555,24
248, 52,3.6,0.065, 0,0, 0,0
189, 59.5,-2.25,0.065, 20,0, 382,19
201, 59.5,-0.975,0.065, 9,0, 307,22
213, 59.5,0,0.065, 15,2, 298,27
225, 59.5,0.975,0.065, 5,0, 258,23
237, 59.5,2.25,0.065, 8,0, 333,12
249, 59.5,3.6,0.065, 0,0, 0,0
190, 281.5,-2.25,0.065, 83,1, 2000,40
202, 281.5,-0.975,0.065, 94,5, 1679,61
214, 281.5,0,0.065, 126,1, 1925,55
226, 281.5,0.975,0.065, 97,1, 1666,50
238, 281.5,2.25,0.065, 81,0, 1917,38
250, 281.5,3.6,0.065, 0,0, 0,0
265, 14.5,-2.25,0.075, 36,0, 2786,20
277, 14.5,-0.975,0.075, 42,1, 2976,60
289, 14.5,0,0.075, 40,2, 2862,67
301, 14.5,0.975,0.075, 36,6, 3074,75
313, 14.5,2.25,0.075, 43,0, 2754,30
325, 14.5,3.6,0.075, 0,0, 0,0
266, 31,-2.25,0.075, 18,2, 1340,21
278, 31,-0.975,0.075, 18,2, 1048,40
290, 31,0,0.075, 10,0, 865,60
302, 31,0.975,0.075, 11,1, 1070,36
314, 31,2.25,0.075, 14,0, 1310,34
326, 31,3.6,0.075, 0,0, 0,0
267, 35,-2.25,0.075, 14,4, 850,27
279, 35,-0.975,0.075, 20,1, 613,44
291, 35,0,0.075, 13,0, 549,47
303, 35,0.975,0.075, 12,1, 621,31
315, 35,2.25,0.075, 17,2, 807,38
327, 35,3.6,0.075, 0,0, 0,0
268, 38.5,-2.25,0.075, 10,0, 499,21
280, 38.5,-0.975,0.075, 12,3, 359,33
292, 38.5,0,0.075, 12,0, 359,37
304, 38.5,0.975,0.075, 21,1, 390,41
316, 38.5,2.25,0.075, 12,1, 457,25
328, 38.5,3.6,0.075, 0,0, 0,0
269, 41.5,-2.25,0.075, 12,1, 452,29
281, 41.5,-0.975,0.075, 13,1, 383,27
293, 41.5,0,0.075, 8,0, 410,43
305, 41.5,0.975,0.075, 17,1, 354,37
317, 41.5,2.25,0.075, 13,0, 483,31
329, 41.5,3.6,0.075, 0,0, 0,0
270, 44,-2.25,0.075, 5,0, 286,17
282, 44,-0.975,0.075, 5,0, 234,25
294, 44,0,0.075, 10,0, 229,19
306, 44,0.975,0.075, 7,0, 242,19
318, 44,2.25,0.075, 10,0, 295,21
330, 44,3.6,0.075, 0,0, 0,0
271, 46.5,-2.25,0.075, 18,1, 454,25
283, 46.5,-0.975,0.075, 10,1, 334,29
295, 46.5,0,0.075, 9,0, 356,27
307, 46.5,0.975,0.075, 10,0, 356,22
319, 46.5,2.25,0.075, 11,0, 423,29
331, 46.5,3.6,0.075, 0,0, 0,0
272, 52,-2.25,0.075, 32,2, 975,60
284, 52,-0.975,0.075, 35,0, 740,50
296, 52,0,0.075, 37,1, 749,58
308, 52,0.975,0.075, 25,2, 789,61
320, 52,2.25,0.075, 29,1, 893,47
332, 52,3.6,0.075, 0,0, 0,0
273, 59.5,-2.25,0.075, 34,0, 610,18
285, 59.5,-0.975,0.075, 32,4, 505,32
297, 59.5,0,0.075, 26,1, 556,26
309, 59.5,0.975,0.075, 22,0, 516,28
321, 59.5,2.25,0.075, 22,1, 623,22
333, 59.5,3.6,0.075, 0,0, 0,0
274, 281.5,-2.25,0.075, 139,0, 3156,47
286, 281.5,-0.975,0.075, 181,2, 3138,61
298, 281.5,0,0.075, 235,3, 3371,57
310, 281.5,0.975,0.075, 178,1, 3094,63
322, 281.5,2.25,0.075, 109,2, 3106,61
334, 281.5,3.6,0.075, 0,0, 0,0
349, 14.5,-2.25,0.0835, 57,0, 2415,24
361, 14.5,-0.975,0.0835, 38,2, 2676,63
373, 14.5,0,0.0835, 59,3, 2515,70
385, 14.5,0.975,0.0835, 44,2, 2610,57
397, 14.5,2.25,0.0835, 48,0, 2413,28
409, 14.5,3.6,0.0835, 0,0, 0,0
350, 31,-2.25,0.0835, 14,1, 1106,32
362, 31,-0.975,0.0835, 16,2, 981,43
374, 31,0,0.0835, 16,0, 728,35
386, 31,0.975,0.0835, 26,3, 951,43
398, 31,2.25,0.0835, 20,1, 1084,29
410, 31,3.6,0.0835, 0,0, 0,0
351, 35,-2.25,0.0835, 27,1, 778,29
363, 35,-0.975,0.0835, 19,1, 647,39
375, 35,0,0.0835, 17,2, 535,38
387, 35,0.975,0.0835, 23,3, 558,41
399, 35,2.25,0.0835, 24,1, 742,27
411, 35,3.6,0.0835, 0,0, 0,0
352, 38.5,-2.25,0.0835, 10,0, 486,34
364, 38.5,-0.975,0.0835, 22,1, 370,20
