i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 1055,52, 30558,830
109, 14.5,-0.975,0.03, 835,133, 36114,1935
121, 14.5,0,0.03, 1030,247, 41275,2947
133, 14.5,0.975,0.03, 821,148, 35497,1881
145, 14.5,2.25,0.03, 1071,61, 32341,964
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 567,64, 21106,973
110, 31,-0.975,0.03, 447,106, 18624,1460
122, 31,0,0.03, 607,173, 19395,2020
134, 31,0.975,0.03, 470,108, 17959,1392
146, 31,2.25,0.03, 531,47, 20759,986
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 445,71, 15733,1200
111, 35,-0.975,0.03, 469,111, 12755,1757
123, 35,0,0.03, 637,157, 13140,2430
135, 35,0.975,0.03, 474,100, 12162,1717
147, 35,2.25,0.03, 421,57, 15971,1177
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 303,60, 10033,1025
112, 38.5,-0.975,0.03, 374,65, 9210,1552
124, 38.5,0,0.03, 545,99, 11062,2098
136, 38.5,0.975,0.03, 399,70, 9273,1513
148, 38.5,2.25,0.03, 270,48, 10405,1028
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 322,44, 10298,1264
113, 41.5,-0.975,0.03, 417,75, 10724,1975
125, 41.5,0,0.03, 566,121, 12377,2511
137, 41.5,0.975,0.03, 430,76, 11017,1965
149, 41.5,2.25,0.03, 329,44, 11526,1240
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 220,31, 7716,925
114, 44,-0.975,0.03, 321,41, 7692,1337
126, 44,0,0.03, 387,66, 8490,1707
138, 44,0.975,0.03, 268,30, 7654,1224
150, 44,2.25,0.03, 190,28, 8395,886
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 333,42, 12302,1393
115, 46.5,-0.975,0.03, 466,71, 11453,1824
127, 46.5,0,0.03, 575,91, 12298,2265
139, 46.5,0.975,0.03, 459,58, 11528,1723
151, 46.5,2.25,0.03, 292,43, 13373,1369
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 771,68, 32569,3032
116, 52,-0.975,0.03, 1009,97, 26308,3748
128, 52,0,0.03, 1024,131, 25010,4545
140, 52,0.975,0.03, 951,111, 26315,3670
152, 52,2.25,0.03, 816,78, 35038,2823
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 485,29, 20710,1671
117, 59.5,-0.975,0.03, 546,48, 15806,2283
129, 59.5,0,0.03, 505,64, 14616,2814
141, 59.5,0.975,0.03, 480,49, 15436,2254
153, 59.5,2.25,0.03, 507,37, 22252,1511
165, 59.5,3.6,0.03, 0,0, 0,0
106, 281.5,-2.25,0.03, 2200,102, 68300,4928
118, 281.5,-0.975,0.03, 2303,180, 56396,7680
130, 281.5,0,0.03, 2676,265, 57249,9140
142, 281.5,0.975,0.03, 2199,185, 56951,7543
154, 281.5,2.25,0.03, 2072,98, 74898,4823
166, 281.5,3.6,0.03, 0,0, 0,0
181, 14.5,-2.25,0.065, 727,36, 17222,457
193, 14.5,-0.975,0.065, 601,93, 23301,1265
205, 14.5,0,0.065, 795,131, 25169,1794
217, 14.5,0.975,0.065, 588,91, 23413,1305
229, 14.5,2.25,0.065, 639,29, 17931,566
241, 14.5,3.6,0.065, 0,0, 0,0
182, 31,-2.25,0.065, 325,37, 11941,574
194, 31,-0.975,0.065, 363,77, 12742,1050
206, 31,0,0.065, 423,85, 12041,1326
218, 31,0.975,0.065, 340,67, 12467,1000
230, 31,2.25,0.065, 340,32, 12083,646
242, 31,3.6,0.065, 0,0, 0,0
