i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 0,0, 729,8
109, 14.5,-0.975,0.03, 0,0, 680,5
121, 14.5,0,0.03, 0,0, 1133,15
133, 14.5,0.975,0.03, 0,0, 687,13
145, 14.5,2.25,0.03, 0,0, 709,12
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 0,0, 231,13
110, 31,-0.975,0.03, 0,0, 211,2
122, 31,0,0.03, 0,0, 309,2
134, 31,0.975,0.03, 0,0, 220,13
146, 31,2.25,0.03, 0,0, 209,6
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 0,0, 201,8
111, 35,-0.975,0.03, 0,0, 197,4
123, 35,0,0.03, 0,0, 274,5
135, 35,0.975,0.03, 0,0, 194,4
147, 35,2.25,0.03, 0,0, 179,8
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 0,0, 147,7
112, 38.5,-0.975,0.03, 0,0, 132,1
124, 38.5,0,0.03, 0,0, 209,7
136, 38.5,0.975,0.03, 0,0, 127,3
148, 38.5,2.25,0.03, 0,0, 117,2
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 0,0, 140,4
113, 41.5,-0.975,0.03, 0,0, 121,3
125, 41.5,0,0.03, 0,0, 219,5
137, 41.5,0.975,0.03, 0,0, 123,0
149, 41.5,2.25,0.03, 0,0, 144,5
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 0,0, 84,3
114, 44,-0.975,0.03, 0,0, 97,4
126, 44,0,0.03, 0,0, 105,0
138, 44,0.975,0.03, 0,0, 89,2
150, 44,2.25,0.03, 0,0, 62,2
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 0,0, 124,1
115, 46.5,-0.975,0.03, 0,0, 127,1
127, 46.5,0,0.03, 0,0, 198,3
139, 46.5,0.975,0.03, 0,0, 130,1
151, 46.5,2.25,0.03, 0,0, 120,0
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 0,0, 290,4
116, 52,-0.975,0.03, 0,0, 312,4
128, 52,0,0.03, 0,0, 475,13
140, 52,0.975,0.03, 0,0, 296,4
152, 52,2.25,0.03, 0,0, 280,8
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 0,0, 244,4
117, 59.5,-0.975,0.03, 0,0, 277,4
129, 59.5,0,0.03, 0,0, 488,9
141, 59.5,0.975,0.03, 0,0, 309,6
153, 59.5,2.25,0.03, 0,0, 259,7
165, 59.5,3.6,0.03, 0,0, 0,0
106, 281.5,-2.25,0.03, 5,0, 31854,141
118, 281.5,-0.975,0.03, 4,0, 42102,93
130, 281.5,0,0.03, 13,0, 69652,119
142, 281.5,0.975,0.03, 4,0, 41585,106
154, 281.5,2.25,0.03, 5,0, 31127,112
166, 281.5,3.6,0.03, 0,0, 0,0
181, 14.5,-2.25,0.065, 0,0, 703,11
193, 14.5,-0.975,0.065, 0,0, 681,10
205, 14.5,0,0.065, 0,0, 1098,5
217, 14.5,0.975,0.065, 0,0, 683,19
229, 14.5,2.25,0.065, 0,0, 645,10
241, 14.5,3.6,0.065, 0,0, 0,0
182, 31,-2.25,0.065, 0,0, 217,6
194, 31,-0.975,0.065, 0,0, 226,7
