i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 0,0, 402,5
109, 14.5,-0.975,0.03, 0,0, 410,8
121, 14.5,0,0.03, 0,0, 731,16
133, 14.5,0.975,0.03, 0,0, 391,5
145, 14.5,2.25,0.03, 0,0, 362,5
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 0,0, 113,1
110, 31,-0.975,0.03, 0,0, 131,4
122, 31,0,0.03, 0,0, 187,3
134, 31,0.975,0.03, 0,0, 119,1
146, 31,2.25,0.03, 0,0, 102,3
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 0,0, 94,5
111, 35,-0.975,0.03, 0,0, 120,1
123, 35,0,0.03, 0,0, 179,1
135, 35,0.975,0.03, 0,0, 119,4
147, 35,2.25,0.03, 0,0, 117,3
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 0,0, 80,2
112, 38.5,-0.975,0.03, 0,0, 80,2
124, 38.5,0,0.03, 0,0, 146,1
136, 38.5,0.975,0.03, 0,0, 90,2
148, 38.5,2.25,0.03, 0,0, 64,1
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 1,0, 75,1
113, 41.5,-0.975,0.03, 0,0, 76,2
125, 41.5,0,0.03, 0,0, 108,3
137, 41.5,0.975,0.03, 0,0, 80,0
149, 41.5,2.25,0.03, 0,0, 62,4
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 0,0, 41,0
114, 44,-0.975,0.03, 0,0, 47,1
126, 44,0,0.03, 1,0, 77,0
138, 44,0.975,0.03, 0,0, 43,0
150, 44,2.25,0.03, 0,0, 42,3
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 0,0, 55,1
115, 46.5,-0.975,0.03, 0,0, 76,1
127, 46.5,0,0.03, 0,0, 127,2
139, 46.5,0.975,0.03, 0,0, 77,2
151, 46.5,2.25,0.03, 0,0, 57,1
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 0,0, 153,4
116, 52,-0.975,0.03, 0,0, 180,4
128, 52,0,0.03, 0,0, 292,1
140, 52,0.975,0.03, 0,0, 170,2
152, 52,2.25,0.03, 0,0, 143,1
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 0,0, 130,1
117, 59.5,-0.975,0.03, 0,0, 174,2
129, 59.5,0,0.03, 0,0, 258,3
141, 59.5,0.975,0.03, 0,0, 161,2
153, 59.5,2.25,0.03, 0,0, 131,1
165, 59.5,3.6,0.03, 0,0, 0,0
106, 281.5,-2.25,0.03, 1,0, 11269,49
118, 281.5,-0.975,0.03, 2,0, 18475,39
130, 281.5,0,0.03, 3,0, 32510,50
142, 281.5,0.975,0.03, 2,0, 18632,33
154, 281.5,2.25,0.03, 1,0, 10768,50
