i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 1,0, 8913,216
109, 14.5,-0.975,0.03, 1,0, 3851,251
121, 14.5,0,0.03, 0,0, 4745,357
133, 14.5,0.975,0.03, 0,0, 3613,249
145, 14.5,2.25,0.03, 1,0, 7724,261
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 0,0, 2574,218
110, 31,-0.975,0.03, 0,0, 1227,136
122, 31,0,0.03, 0,0, 1461,180
134, 31,0.975,0.03, 0,0, 1171,119
146, 31,2.25,0.03, 0,0, 2412,191
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 0,0, 2533,227
111, 35,-0.975,0.03, 0,0, 1263,142
123, 35,0,0.03, 0,0, 1516,186
135, 35,0.975,0.03, 0,0, 1153,151
147, 35,2.25,0.03, 0,0, 2424,205
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 0,0, 2082,176
112, 38.5,-0.975,0.03, 0,0, 1023,109
124, 38.5,0,0.03, 0,0, 1444,165
136, 38.5,0.975,0.03, 0,0, 976,115
148, 38.5,2.25,0.03, 1,0, 1987,130
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 0,0, 2436,193
113, 41.5,-0.975,0.03, 0,0, 1243,135
125, 41.5,0,0.03, 0,0, 1638,171
137, 41.5,0.975,0.03, 0,0, 1193,114
149, 41.5,2.25,0.03, 0,0, 2343,182
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 0,0, 1739,140
114, 44,-0.975,0.03, 0,0, 903,92
126, 44,0,0.03, 0,0, 1157,117
138, 44,0.975,0.03, 0,0, 897,94
150, 44,2.25,0.03, 0,0, 1629,124
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 0,0, 2903,227
115, 46.5,-0.975,0.03, 0,0, 1390,146
127, 46.5,0,0.03, 0,0, 1982,177
139, 46.5,0.975,0.03, 0,0, 1312,136
151, 46.5,2.25,0.03, 0,0, 2709,197
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 0,0, 7892,515
116, 52,-0.975,0.03, 0,0, 4077,355
128, 52,0,0.03, 0,0, 5623,496
140, 52,0.975,0.03, 0,0, 3770,315
152, 52,2.25,0.03, 0,0, 7559,466
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 0,0, 6483,372
117, 59.5,-0.975,0.03, 0,0, 3259,249
129, 59.5,0,0.03, 0,0, 4310,305
141, 59.5,0.975,0.03, 0,0, 3100,236
153, 59.5,2.25,0.03, 1,0, 5966,290
165, 59.5,3.6,0.03, 0,0, 0,0
106, 281.5,-2.25,0.03, 0,0, 16314,648
118, 281.5,-0.975,0.03, 0,0, 8576,438
130, 281.5,0,0.03, 0,0, 11182,503
142, 281.5,0.975,0.03, 0,0, 8272,415
154, 281.5,2.25,0.03, 1,0, 15272,591
166, 281.5,3.6,0.03, 0,0, 0,0
181, 14.5,-2.25,0.065, 0,0, 8292,183
193, 14.5,-0.975,0.065, 0,0, 4601,230
205, 14.5,0,0.065, 0,0, 5530,306
217, 14.5,0.975,0.065, 0,0, 4431,242
229, 14.5,2.25,0.065, 2,0, 7641,189
241, 14.5,3.6,0.065, 0,0, 0,0
182, 31,-2.25,0.065, 0,0, 2963,196
