i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 173,4, 3754,82
109, 14.5,-0.975,0.03, 101,5, 4013,135
121, 14.5,0,0.03, 117,8, 4502,240
133, 14.5,0.975,0.03, 115,10, 3945,142
145, 14.5,2.25,0.03, 158,7, 4000,82
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 37,1, 2689,91
110, 31,-0.975,0.03, 35,1, 1937,98
122, 31,0,0.03, 52,7, 1751,145
134, 31,0.975,0.03, 40,4, 1814,109
146, 31,2.25,0.03, 56,4, 2549,86
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 51,4, 1763,95
111, 35,-0.975,0.03, 38,3, 1255,127
123, 35,0,0.03, 39,5, 1121,159
135, 35,0.975,0.03, 35,1, 1158,110
147, 35,2.25,0.03, 41,7, 1768,94
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 40,2, 1097,98
112, 38.5,-0.975,0.03, 32,2, 829,94
124, 38.5,0,0.03, 26,1, 905,129
136, 38.5,0.975,0.03, 27,6, 876,111
148, 38.5,2.25,0.03, 34,7, 1138,93
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 38,1, 1230,102
113, 41.5,-0.975,0.03, 22,3, 978,114
125, 41.5,0,0.03, 31,5, 1000,168
137, 41.5,0.975,0.03, 24,3, 959,142
149, 41.5,2.25,0.03, 25,1, 1285,86
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 25,1, 909,64
114, 44,-0.975,0.03, 4,0, 657,91
126, 44,0,0.03, 21,0, 642,106
138, 44,0.975,0.03, 21,0, 660,81
150, 44,2.25,0.03, 15,2, 1038,74
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 25,2, 1372,90
115, 46.5,-0.975,0.03, 22,3, 976,110
127, 46.5,0,0.03, 30,3, 948,176
139, 46.5,0.975,0.03, 14,2, 954,113
151, 46.5,2.25,0.03, 19,1, 1448,93
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 60,7, 3176,221
116, 52,-0.975,0.03, 40,2, 2169,278
128, 52,0,0.03, 58,4, 2165,365
140, 52,0.975,0.03, 33,2, 2080,258
152, 52,2.25,0.03, 58,2, 3266,211
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 30,0, 1990,125
117, 59.5,-0.975,0.03, 35,3, 1491,208
129, 59.5,0,0.03, 61,4, 1465,224
141, 59.5,0.975,0.03, 41,2, 1410,179
153, 59.5,2.25,0.03, 34,2, 2129,152
165, 59.5,3.6,0.03, 0,0, 0,0
106, 281.5,-2.25,0.03, 453,12, 8559,440
118, 281.5,-0.975,0.03, 569,12, 6977,711
130, 281.5,0,0.03, 859,21, 7840,842
142, 281.5,0.975,0.03, 549,11, 7107,717
154, 281.5,2.25,0.03, 485,7, 9128,388
166, 281.5,3.6,0.03, 0,0, 0,0
181, 14.5,-2.25,0.065, 163,3, 2190,44
193, 14.5,-0.975,0.065, 122,5, 2598,125
205, 14.5,0,0.065, 162,7, 2766,139
217, 14.5,0.975,0.065, 119,5, 2577,122
229, 14.5,2.25,0.065, 142,8, 2161,66
241, 14.5,3.6,0.065, 0,0, 0,0
182, 31,-2.25,0.065, 47,2, 1498,57
194, 31,-0.975,0.065, 45,3, 1381,81
206, 31,0,0.065, 57,5, 1194,116
218, 31,0.975,0.065, 58,5, 1365,71
230, 31,2.25,0.065, 50,2, 1443,51
242, 31,3.6,0.065, 0,0, 0,0
183, 35,-2.25,0.065, 55,4, 1175,74
195, 35,-0.975,0.065, 46,5, 998,99
207, 35,0,0.065, 46,3, 878,111
219, 35,0.975,0.065, 42,7, 921,82
231, 35,2.25,0.065, 54,3, 1150,70
243, 35,3.6,0.065, 0,0, 0,0
184, 38.5,-2.25,0.065, 37,1, 818,54
196, 38.5,-0.975,0.065, 41,1, 650,96
208, 38.5,0,0.065, 37,2, 719,109
220, 38.5,0.975,0.065, 23,1, 637,82
232, 38.5,2.25,0.065, 38,0, 791,60
244, 38.5,3.6,0.065, 0,0, 0,0
185, 41.5,-2.25,0.065, 31,2, 844,63
197, 41.5,-0.975,0.065, 20,1, 744,89
209, 41.5,0,0.065, 35,0, 726,79
221, 41.5,0.975,0.065, 26,1, 760,100
233, 41.5,2.25,0.065, 44,5, 824,58
245, 41.5,3.6,0.065, 0,0, 0,0
186, 44,-2.25,0.065, 17,1, 625,50
198, 44,-0.975,0.065, 15,1, 570,60
210, 44,0,0.065, 32,4, 531,68
222, 44,0.975,0.065, 21,2, 559,76
234, 44,2.25,0.065, 23,0, 674,46
246, 44,3.6,0.065, 0,0, 0,0
187, 46.5,-2.25,0.065, 34,1, 940,61
199, 46.5,-0.975,0.065, 26,3, 784,86
211, 46.5,0,0.065, 37,2, 726,97
223, 46.5,0.975,0.065, 16,1, 755,82
235, 46.5,2.25,0.065, 31,1, 977,61
247, 46.5,3.6,0.065, 0,0, 0,0
188, 52,-2.25,0.065, 90,3, 2200,143
200, 52,-0.975,0.065, 84,7, 1693,221
212, 52,0,0.065, 91,2, 1575,233
224, 52,0.975,0.065, 58,4, 1746,186
236, 52,2.25,0.065, 80,4, 2120,122
248, 52,3.6,0.065, 0,0, 0,0
189, 59.5,-2.25,0.065, 69,3, 1355,94
201, 59.5,-0.975,0.065, 45,0, 1180,121
213, 59.5,0,0.065, 79,1, 1074,139
225, 59.5,0.975,0.065, 61,0, 1173,117
237, 59.5,2.25,0.065, 53,3, 1362,81
249, 59.5,3.6,0.065, 0,0, 0,0
190, 281.5,-2.25,0.065, 648,10, 5924,210
202, 281.5,-0.975,0.065, 873,13, 6063,361
214, 281.5,0,0.065, 1223,10, 6710,377
226, 281.5,0.975,0.065, 890,10, 6100,361
238, 281.5,2.25,0.065, 598,8, 5971,216
250, 281.5,3.6,0.065, 0,0, 0,0
265, 14.5,-2.25,0.075, 313,6, 2957,73
277, 14.5,-0.975,0.075, 203,5, 3642,141
289, 14.5,0,0.075, 245,3, 3723,210
301, 14.5,0.975,0.075, 228,17, 3714,149
313, 14.5,2.25,0.075, 238,1, 2969,50
325, 14.5,3.6,0.075, 0,0, 0,0
266, 31,-2.25,0.075, 94,3, 1943,74
278, 31,-0.975,0.075, 106,12, 1942,130
290, 31,0,0.075, 104,6, 1610,125
302, 31,0.975,0.075, 97,4, 1814,107
314, 31,2.25,0.075, 89,6, 1943,79
326, 31,3.6,0.075, 0,0, 0,0
267, 35,-2.25,0.075, 103,8, 1599,78
279, 35,-0.975,0.075, 109,4, 1474,111
291, 35,0,0.075, 114,12, 1268,137
303, 35,0.975,0.075, 100,11, 1450,128
315, 35,2.25,0.075, 80,2, 1574,80
327, 35,3.6,0.075, 0,0, 0,0
268, 38.5,-2.25,0.075, 74,4, 1091,62
280, 38.5,-0.975,0.075, 52,5, 1019,118
292, 38.5,0,0.075, 88,4, 1036,114
