i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 3447,129, 31539,150
109, 14.5,-0.975,0.03, 2292,166, 40657,282
121, 14.5,0,0.03, 2790,204, 42110,366
133, 14.5,0.975,0.03, 2338,165, 42407,254
145, 14.5,2.25,0.03, 3546,131, 37126,168
98, 31,-2.25,0.03, 994,86, 38519,109
110, 31,-0.975,0.03, 727,100, 14597,154
122, 31,0,0.03, 867,125, 8062,227
134, 31,0.975,0.03, 772,84, 13291,169
146, 31,2.25,0.03, 1058,94, 37036,123
99, 35,-2.25,0.03, 891,91, 11721,109
111, 35,-0.975,0.03, 715,93, 5961,148
123, 35,0,0.03, 881,126, 6223,183
135, 35,0.975,0.03, 722,101, 5779,132
147, 35,2.25,0.03, 926,105, 10471,105
100, 38.5,-2.25,0.03, 608,54, 5777,57
112, 38.5,-0.975,0.03, 522,71, 4057,100
124, 38.5,0,0.03, 726,92, 4516,132
136, 38.5,0.975,0.03, 531,71, 4020,98
148, 38.5,2.25,0.03, 662,58, 5919,66
101, 41.5,-2.25,0.03, 583,70, 5577,79
113, 41.5,-0.975,0.03, 538,67, 4191,91
125, 41.5,0,0.03, 781,91, 4389,116
137, 41.5,0.975,0.03, 584,76, 4089,99
149, 41.5,2.25,0.03, 647,58, 6032,81
102, 44,-2.25,0.03, 371,29, 3792,35
114, 44,-0.975,0.03, 386,38, 2808,62
126, 44,0,0.03, 489,45, 2879,61
138, 44,0.975,0.03, 391,34, 2641,55
150, 44,2.25,0.03, 391,27, 4083,45
103, 46.5,-2.25,0.03, 549,39, 5592,54
115, 46.5,-0.975,0.03, 519,36, 3911,81
127, 46.5,0,0.03, 735,64, 3943,94
139, 46.5,0.975,0.03, 608,52, 3578,75
151, 46.5,2.25,0.03, 576,39, 5762,45
104, 52,-2.25,0.03, 1337,76, 12112,129
116, 52,-0.975,0.03, 1445,94, 8486,144
128, 52,0,0.03, 1655,122, 8627,200
140, 52,0.975,0.03, 1470,107, 7839,153
152, 52,2.25,0.03, 1356,88, 12468,122
105, 59.5,-2.25,0.03, 896,56, 7415,62
117, 59.5,-0.975,0.03, 893,62, 5396,106
129, 59.5,0,0.03, 1050,87, 5790,141
141, 59.5,0.975,0.03, 858,67, 5392,110
153, 59.5,2.25,0.03, 998,47, 7461,55
106, 281.5,-2.25,0.03, 8470,216, 38352,271
118, 281.5,-0.975,0.03, 9422,303, 35925,507
130, 281.5,0,0.03, 14054,395, 43272,622
142, 281.5,0.975,0.03, 9277,284, 33881,520
154, 281.5,2.25,0.03, 8684,203, 39599,261
181, 14.5,-2.25,0.065, 3394,71, 19256,117
193, 14.5,-0.975,0.065, 2456,141, 31308,207
205, 14.5,0,0.065, 2964,193, 32643,302
217, 14.5,0.975,0.065, 2500,138, 32457,204
229, 14.5,2.25,0.065, 3457,102, 22469,106
182, 31,-2.25,0.065, 1105,67, 27594,92
194, 31,-0.975,0.065, 861,99, 16587,146
206, 31,0,0.065, 979,113, 9004,168
218, 31,0.975,0.065, 883,90, 15133,164
230, 31,2.25,0.065, 1088,85, 27503,83
183, 35,-2.25,0.065, 892,68, 11589,83
195, 35,-0.975,0.065, 826,100, 6759,154
207, 35,0,0.065, 979,99, 6292,161
219, 35,0.975,0.065, 867,114, 6559,150
231, 35,2.25,0.065, 1035,89, 9938,102
184, 38.5,-2.25,0.065, 689,45, 5038,72
196, 38.5,-0.975,0.065, 652,72, 4613,109
208, 38.5,0,0.065, 786,76, 4713,111
220, 38.5,0.975,0.065, 678,77, 4500,113
232, 38.5,2.25,0.065, 733,61, 5061,68
185, 41.5,-2.25,0.065, 606,31, 4709,48
197, 41.5,-0.975,0.065, 688,59, 4597,88
209, 41.5,0,0.065, 759,66, 4534,100
221, 41.5,0.975,0.065, 653,67, 4341,89
233, 41.5,2.25,0.065, 678,48, 4815,59
