dtag,nbin,pileup
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,0,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,1,420
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,2,532
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,3,1140
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,4,1977
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,5,2482
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,6,3236
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,7,5506
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,8,16124
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,9,29376
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,10,54759
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,11,112992
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,12,206383
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,13,331264
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,14,458789
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,15,601516
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,16,759829
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,17,902879
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,18,1.01142e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,19,1.10152e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,20,1.18136e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,21,1.23279e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,22,1.25867e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,23,1.2504e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,24,1.20983e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,25,1.15154e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,26,1.07521e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,27,980100
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,28,885226
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,29,788106
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,30,691431
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,31,612416
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,32,532603
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,33,468647
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,34,410423
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,35,362689
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,36,319818
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,37,288702
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,38,260394
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,39,237817
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,40,215648
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,41,200156
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,42,187039
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,43,171426
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,44,156364
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,45,139125
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,46,123528
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,47,108635
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,48,91394
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,49,75990
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,50,61326
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,51,47878
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,52,35641
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,53,26072
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,54,19123
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,55,12626
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,56,7897
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,57,5508
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,58,3560
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,59,2197
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,60,1500
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,61,845
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,62,552
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,63,480
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,64,416
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,65,304
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,66,321
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,67,278
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,68,289
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,69,294
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,70,325
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,71,312
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,72,302
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,73,268
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,74,289
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,75,268
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,76,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,77,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,78,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,79,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,80,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,81,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,82,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,83,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,84,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,85,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,86,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,87,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,88,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,89,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,90,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,91,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,92,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,93,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,94,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,95,0
