dtag,nbin,pileup
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,0,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,1,0.0824879
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,2,5.30953
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,3,16.0049
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,4,46.7857
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,5,97.5473
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,6,100.309
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,7,184.976
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,8,1118.97
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,9,4834.24
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,10,17372.7
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,11,56030.2
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,12,148853
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,13,322075
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,14,531676
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,15,759699
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,16,927475
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,17,1.03046e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,18,1.22665e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,19,1.30139e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,20,1.50689e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,21,1.40005e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,22,1.33124e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,23,1.33775e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,24,1.34374e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,25,1.2322e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,26,1.23546e+06
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,27,997591
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,28,888979
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,29,660034
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,30,520850
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,31,391610
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,32,284061
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,33,269073
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,34,229010
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,35,270821
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,36,377273
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,37,700884
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,38,854559
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,39,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,40,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,41,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,42,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,43,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,44,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,45,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,46,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,47,0
