"nbin","pileup_normalized_average","pileup_normalized_average_dev"
0,0,0
1,1.81361853707851e-05,1.85520664014766e-06
2,2.51834395072763e-05,2.728182132736e-06
3,5.24101138121502e-05,4.5791512908472e-06
4,8.85918705332136e-05,7.47241866607732e-06
5,0.000110734620827493,7.0474118363244e-06
6,0.000142989100188599,9.14330915561944e-06
7,0.00024377802097105,8.67233562365861e-06
8,0.000719705405469332,2.4322909380679e-05
9,0.00130384687111307,2.25372414738296e-05
10,0.00243814487048112,2.72424144008542e-05
11,0.00502286111472872,4.40472755972655e-05
12,0.00921290762563555,7.03152933761883e-05
13,0.0146744312393409,6.97513238266567e-05
14,0.0204535034659742,9.08828998357897e-05
15,0.0267515700163118,8.45354035511348e-05
16,0.0337555198842521,0.00010118827099929
17,0.0401372053508807,0.000158597928001474
18,0.0450096202771385,9.61282815243112e-05
19,0.0490538544836091,9.3587452103946e-05
20,0.052504848074862,8.71791341828139e-05
21,0.0548215848392339,0.000126740116867885
22,0.0559753879440574,0.000162108272175029
23,0.0554469610305764,0.000155167532168002
24,0.0537679741695875,0.00010789478793011
25,0.0512391392476586,0.000145772730016801
26,0.0476914654388726,0.000117698724145885
27,0.0435051779688265,0.000102369850256218
28,0.039284454168414,0.00010210970713069
29,0.0349916247884288,9.92170753660159e-05
30,0.030700463579901,6.42653690797836e-05
31,0.0272639648679511,9.1544959465469e-05
32,0.0237111272264636,0.000107612951451345
33,0.0208000109155453,8.83554073971819e-05
34,0.0182570636182836,8.19402507961906e-05
35,0.0160857460199702,7.25870867540384e-05
36,0.0142424480544213,5.19109679651696e-05
37,0.0127993900684885,4.46300053994973e-05
38,0.0115750252354707,3.39931620279638e-05
39,0.010550837164912,5.38203223846288e-05
40,0.00957742275072699,4.11423367127078e-05
41,0.00890275850093659,4.4705881121724e-05
42,0.00828307680551582,8.09264697510978e-05
43,0.00763392845912128,4.92237475806822e-05
44,0.00696899032047765,3.00895703481839e-05
45,0.00620832179272203,3.45595624429825e-05
46,0.00547774058230865,6.70426162792263e-05
47,0.00484018291418648,2.86330514886445e-05
48,0.00407281641516267,2.48476958629601e-05
49,0.00337344084578009,3.07197729986082e-05
50,0.00270882266126294,2.69657928331906e-05
51,0.00212764947735988,2.46244834774775e-05
52,0.00160394561279288,1.82551950219858e-05
53,0.00117547865865733,2.14973634684579e-05
54,0.000861309171274856,1.70182897061911e-05
55,0.00056599015594087,1.1140643562715e-05
56,0.000367008772565391,1.06901983857141e-05
57,0.000244203441549255,8.56562593334012e-06
58,0.000159268930605085,6.30039587519873e-06
59,0.000100152989282999,5.47769222963924e-06
60,6.63474317634276e-05,5.76583238732531e-06
61,3.66576394538968e-05,2.88691204273075e-06
62,2.63122754715286e-05,2.99725015911207e-06
63,2.11559498880688e-05,2.06137523574198e-06
64,1.8001240951283e-05,2.10582663909709e-06
65,1.47495496750255e-05,1.94924793854875e-06
66,1.34672233635421e-05,2.46174553458477e-06
67,1.29638514209533e-05,1.46075279348124e-06
68,1.34511074322115e-05,1.67144925264393e-06
69,1.36266778738473e-05,2.6688966989449e-06
70,1.43786270006445e-05,2.57661258863459e-06
71,1.35103388326586e-05,2.25491514459119e-06
72,1.30522703888516e-05,2.35264541254906e-06
73,1.40017744744706e-05,2.37276138528688e-06
74,1.36933854453648e-05,1.71442298933599e-06
75,1.24330202635978e-05,1.4625741919124e-06
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
