nbin,pileup_up,pileup_up_err
1,232683.4,28581.96
2,659479,74333.76
3,2183879,172493.4
4,2745838,208326
5,4071578,275131.1
6,5399946,334806.8
7,6385996,365902.2
8,9041865,386720.3
9,2.378316e+07,601920.8
10,5.400307e+07,841326.9
11,1.160154e+08,1323467
12,2.460525e+08,2197533
13,4.433853e+08,3125134
14,6.801119e+08,3979024
15,9.378723e+08,4679964
16,1.218825e+09,5359947
17,1.501706e+09,6044198
18,1.730477e+09,6502413
19,1.882658e+09,6764976
20,1.968697e+09,6862176
21,2.012675e+09,6855170
22,2.04038e+09,6883256
23,2.054745e+09,6982184
24,2.036917e+09,6979703
25,1.978318e+09,6836839
26,1.889436e+09,6663470
27,1.781249e+09,6476265
28,1.657942e+09,6234554
29,1.523136e+09,5954465
30,1.38224e+09,5665899
31,1.239666e+09,5372554
32,1.097667e+09,5061701
33,9.577008e+08,4720796
34,8.219249e+08,4351009
35,6.93307e+08,3964197
36,5.748163e+08,3575084
37,4.686303e+08,3198102
38,3.757644e+08,2841553
39,2.961701e+08,2504238
40,2.290718e+08,2179769
41,1.733771e+08,1863629
42,1.279604e+08,1556708
43,9.17539e+07,1264798
44,6.370411e+07,996051.2
45,4.270206e+07,758209.1
46,2.757163e+07,556683.3
47,1.711756e+07,393564.5
48,1.020509e+07,267514.8
49,5837087,174544.1
50,3201566,109126.8
51,1683875,65288.34
52,849886.3,37420.72
53,412538.4,20777.7
54,193593.6,11689.28
55,88881.15,7461.976
56,40970.21,5935.172
57,19934.57,5459.264
58,11012.54,5247.98
59,7298.604,5072.069
60,5722.913,4882.75
61,4985.459,4673.235
62,4560.494,4445.226
63,4244.754,4202.096
64,3963.531,3947.562
65,3691.485,3685.383
66,3421.626,3419.225
67,3153.557,3152.576
68,2889.088,2888.67
69,2630.613,2630.428
70,2380.501,2380.416
71,2140.853,2140.813
72,1913.419,1913.4
73,1699.565,1699.556
74,1500.273,1500.268
75,1316.159,1316.156
76,1147.5,1147.499
77,994.2699,994.2694
78,856.1777,856.1775
79,732.7099,732.7098
80,623.1741,623.174
81,526.7399,526.7399
82,442.4793,442.4793
83,369.4026,369.4026
84,306.4906,306.4906
85,252.7231,252.7231
86,207.1015,207.1015
87,168.6678,168.6678
88,136.5185,136.5185
89,109.8149,109.8149
90,87.78922,87.78922
91,69.74792,69.74792
92,55.07205,55.07205
93,43.21563,43.21563
94,33.70234,33.70234
95,26.12091,26.12091
96,20.11989,20.11989
97,15.4018,15.4018
98,11.71725,11.71725
99,8.859073,8.859073
100,6.656693,6.656693
