nbin,pileup,pileup_err
1,247347,29719.1
2,1.03805e+06,100780
3,2.03826e+06,168432
4,2.89557e+06,230182
5,4.15174e+06,286105
6,5.66565e+06,353329
7,7.15927e+06,375804
8,1.86809e+07,539550
9,5.02187e+07,836598
10,1.17695e+08,1.37183e+06
11,2.70166e+08,2.40022e+06
12,5.10076e+08,3.50588e+06
13,7.98591e+08,4.50773e+06
14,1.11412e+09,5.31869e+06
15,1.45764e+09,6.16487e+06
16,1.77506e+09,6.88038e+06
17,2.00036e+09,7.29915e+06
18,2.12982e+09,7.48512e+06
19,2.19254e+09,7.49835e+06
20,2.22739e+09,7.51822e+06
21,2.24445e+09,7.63656e+06
22,2.21729e+09,7.62824e+06
23,2.13228e+09,7.44487e+06
24,2.00133e+09,7.22768e+06
25,1.8325e+09,6.95679e+06
26,1.62556e+09,6.56737e+06
27,1.38553e+09,6.05301e+06
28,1.1264e+09,5.39659e+06
29,8.67807e+08,4.59755e+06
30,6.30774e+08,3.71568e+06
31,4.32162e+08,2.85355e+06
32,2.7988e+08,2.0997e+06
33,1.72229e+08,1.48949e+06
34,1.01265e+08,1.01937e+06
35,5.71814e+07,673785
36,3.11737e+07,432967
37,1.65116e+07,273408
38,8.55619e+06,171298
39,4.36543e+06,106881
40,2.20248e+06,66271.1
41,1.10068e+06,40668.7
42,544689,24684.5
43,266872,15013
44,129879,9623.1
45,63535.3,7132.58
46,32124.2,6299.02
47,17632.6,6125.56
48,11121.7,6120.6
49,8255.04,6121.76
50,6985.95,6084.44
51,6387.56,6005.61
52,6049.28,5884.95
53,5796.89,5724.33
54,5559.89,5526.84
55,5311.96,5296.47
56,5045.27,5037.84
57,4759.67,4756.06
58,4458.25,4456.49
59,4145.44,4144.58
60,3826.13,3825.71
61,3505.22,3505.01
62,3187.34,3187.24
63,2876.71,2876.66
64,2577.03,2577.01
65,2291.39,2291.38
66,2022.25,2022.24
67,1771.45,1771.45
68,1540.22,1540.22
69,1329.23,1329.23
70,1138.62,1138.62
71,968.102,968.102
72,817.012,817.012
73,684.386,684.386
74,569.036,569.036
75,469.618,469.618
76,384.695,384.695
77,312.791,312.791
78,252.441,252.441
79,202.224,202.224
80,160.795,160.795
81,126.906,126.906
82,99.4157,99.4157
83,77.3029,77.3029
84,59.6627,59.6627
85,45.7063,45.7063
86,34.7549,34.7549
87,26.2313,26.2313
88,19.6512,19.6512
89,14.6125,14.6125
90,10.7851,10.7851
91,7.90108,7.90108
92,5.74531,5.74531
93,4.14671,4.14671
94,2.97068,2.97068
95,2.11238,2.11238
96,1.4909,1.4909
97,1.04445,1.04445
98,0.726253,0.726253
99,0.501244,0.501244
100,0.343377,0.343377
