nbin,pileup,pileup_err
1,232649,28582
2,644530,73901.9
3,1.93617e+06,163876
4,2.15665e+06,183496
5,3.40892e+06,252898
6,4.53319e+06,304339
7,5.55766e+06,339308
8,8.12344e+06,360224
9,2.25107e+07,577063
10,5.24118e+07,819746
11,1.14096e+08,1.3077e+06
12,2.43711e+08,2.18578e+06
13,4.40661e+08,3.11586e+06
14,6.76889e+08,3.97035e+06
15,9.33951e+08,4.6709e+06
16,1.21418e+09,5.34893e+06
17,1.49691e+09,6.03403e+06
18,1.72605e+09,6.49535e+06
19,1.87825e+09,6.75844e+06
20,1.96377e+09,6.85388e+06
21,2.00718e+09,6.84564e+06
22,2.03435e+09,6.87537e+06
23,2.04735e+09,6.97589e+06
24,2.02601e+09,6.97273e+06
25,1.96014e+09,6.82724e+06
26,1.85778e+09,6.64745e+06
27,1.72633e+09,6.44307e+06
28,1.56598e+09,6.15736e+06
29,1.37789e+09,5.77754e+06
30,1.16908e+09,5.29836e+06
31,9.5141e+08,4.70623e+06
32,7.39278e+08,4.01413e+06
33,5.46976e+08,3.2751e+06
34,3.85295e+08,2.56279e+06
35,2.59027e+08,1.93617e+06
36,1.66864e+08,1.41893e+06
37,1.03443e+08,1.00931e+06
38,6.19525e+07,697059
39,3.5985e+07,469209
40,2.03632e+07,310172
41,1.12844e+07,203049
42,6.156e+06,132345
43,3.32044e+06,85955
44,1.77552e+06,55484.5
45,941985,35490.8
46,495673,22498.1
47,258653,14279.6
48,134146,9410
49,69686.1,6908.01
50,36914.2,5904.83
51,20598.6,5620.34
52,12655.4,5578.66
53,8867.68,5585.92
54,7079.96,5577.5
55,6222.32,5537.88
56,5779.78,5466.59
57,5508.99,5363.64
58,5299.37,5230.41
59,5102.62,5069.05
60,4899,4882.25
61,4681.69,4673.15
62,4449.62,4445.21
63,4204.38,4202.09
64,3948.75,3947.56
65,3686,3685.38
66,3419.54,3419.22
67,3152.74,3152.58
68,2888.75,2888.67
69,2630.47,2630.43
70,2380.44,2380.42
71,2140.82,2140.81
72,1913.4,1913.4
73,1699.56,1699.56
74,1500.27,1500.27
75,1316.16,1316.16
76,1147.5,1147.5
77,994.27,994.269
78,856.178,856.177
79,732.71,732.71
80,623.174,623.174
81,526.74,526.74
82,442.479,442.479
83,369.403,369.403
84,306.491,306.491
85,252.723,252.723
86,207.102,207.102
87,168.668,168.668
88,136.518,136.518
89,109.815,109.815
90,87.7892,87.7892
91,69.7479,69.7479
92,55.072,55.072
93,43.2156,43.2156
94,33.7023,33.7023
95,26.1209,26.1209
96,20.1199,20.1199
97,15.4018,15.4018
98,11.7173,11.7173
99,8.85907,8.85907
100,6.65669,6.65669
