bin_n,pu,pu_err
0,0.000000,0.000000
1,3502.372804,1821.111329
2,292999.971057,51524.565402
3,1080136.244639,120322.847187
4,1799118.175025,165117.122876
5,2711590.323236,215659.330162
6,3711344.591834,265085.670206
7,4764930.562297,303689.184823
8,9527750.977351,337807.242074
9,30554869.890407,618555.586454
10,72957430.905199,1004827.104469
11,151836843.890041,1619916.665207
12,269315694.959937,2268200.012726
13,414813124.820107,2869575.937274
14,583761623.313101,3457372.329409
15,773311267.544018,4024519.255422
16,970715068.916673,4615856.370092
17,1135335259.788198,5015315.891398
18,1248079839.522816,5241673.163399
19,1316935805.420385,5373992.296296
20,1347651816.057892,5439957.531496
21,1342935869.316335,5421084.151699
22,1309533853.232176,5346122.051173
23,1255175446.336738,5240550.043797
24,1184828363.911303,5109980.609473
25,1100139200.931287,4949538.251829
26,1000559623.148890,4731480.465979
27,887635957.836986,4435539.361974
28,767511045.929251,4082682.383880
29,648587414.717804,3716294.852905
30,537472811.244180,3362779.878433
31,437403582.013069,3019105.582639
32,349307005.154504,2674586.315734
33,273276386.054316,2333815.488510
34,209111814.928653,2007707.416946
35,156253827.440909,1700381.217878
36,113761939.780024,1411717.767688
37,80466074.852412,1142878.849440
38,55114260.021932,897694.733716
39,36438499.796135,681306.733619
40,23187478.336316,498022.960948
41,14168814.485411,349833.601387
42,8299654.847298,235792.426082
43,4655516.895353,152353.212448
44,2499558.264695,94310.673423
45,1284844.936098,55927.017094
46,633096.756287,31863.450153
47,299993.395853,17730.967377
48,137756.823982,10264.554705
49,62427.196019,7071.893556
50,29068.239094,6104.370232
51,14965.755233,5892.300276
52,9249.872321,5830.155536
53,6999.639807,5766.682934
54,6099.305090,5672.459970
55,5686.106709,5543.443203
56,5427.449542,5381.040462
57,5202.962487,5188.097442
58,4972.908957,4968.150768
59,4726.750048,4725.203439
60,4464.088403,4463.571247
61,4187.918010,4187.739143
62,3902.287675,3902.223922
63,3611.469882,3611.446702
64,3319.627449,3319.618958
65,3030.648273,3030.645173
66,2748.045409,2748.044291
67,2474.891568,2474.891172
68,2213.778452,2213.778315
69,1966.797271,1966.797225
70,1735.538032,1735.538017
71,1521.105225,1521.105220
72,1324.147286,1324.147284
73,1144.896983,1144.896983
74,983.219799,983.219798
75,838.667402,838.667402
76,710.533517,710.533517
77,597.909722,597.909722
78,499.739138,499.739138
79,414.866308,414.866308
80,342.082042,342.082042
81,280.162406,280.162406
82,227.901403,227.901403
83,184.137275,184.137275
84,147.772614,147.772614
85,117.788701,117.788701
86,93.254671,93.254671
87,73.332192,73.332192
88,57.276388,57.276388
89,44.433776,44.433776
90,34.237906,34.237906
91,26.203376,26.203376
92,19.918796,19.918796
93,15.039188,15.039188
94,11.278227,11.278227
95,8.400634,8.400634
96,6.214952,6.214952
97,4.566859,4.566859
98,3.333123,3.333123
99,2.416231,2.416231
