bin_n,pu,pu_err
0,0.000000,0.000000
1,5612.929442,2789.922669
2,349549.425438,56933.621107
3,1224619.428021,131907.540379
4,2079654.599350,186455.362545
5,3019544.089025,232219.025912
6,4187023.608263,287483.173587
7,5621105.380196,317987.852104
8,15628463.098896,433298.741808
9,47084545.926600,787034.964799
10,108838927.303456,1321938.286285
11,217562345.392317,2057264.711290
12,363540837.624730,2715448.741060
13,539093883.246423,3382592.489025
14,738937216.712969,3999342.266830
15,956706892.415831,4657384.616743
16,1151374097.048289,5167614.810797
17,1287986117.368630,5450063.461057
18,1371690412.132560,5611413.810016
19,1410858305.589999,5694556.601241
20,1408789822.320162,5682201.842852
21,1373128471.107295,5601804.200883
22,1313200128.895462,5485832.236922
23,1234949060.436550,5341120.415032
24,1140137534.818999,5159775.087829
25,1028201143.727015,4907418.267656
26,901868197.314441,4566548.939173
27,769430462.542678,4171269.538281
28,640808589.086756,3771833.195625
29,522753372.392866,3388894.495231
30,417999250.963387,3011686.200100
31,327129656.377076,2633661.631132
32,250085759.392810,2266258.702845
33,186426584.683916,1919165.385868
34,135217062.653216,1593717.574812
35,95133338.846227,1290224.034144
36,64688715.966712,1012227.107428
37,42353720.129897,765653.618392
38,26609411.525258,556177.730639
39,15996668.028792,386882.023416
40,9182688.307873,257230.681728
41,5026683.233561,163287.260466
42,2622513.921065,98889.844391
43,1304338.326105,57131.904874
44,619355.879298,31601.874309
45,281894.384764,17101.807568
46,124201.535548,9841.893498
47,54274.709475,7031.966549
48,24833.932518,6295.877032
49,13046.441424,6149.900938
50,8526.681209,6088.328496
51,6828.363091,6006.068767
52,6150.808773,5884.995202
53,5807.315596,5724.328479
54,5552.144472,5526.838499
55,5304.120571,5296.465605
56,5040.179265,5037.839833
57,4756.791630,4756.057108
58,4456.724869,4456.485717
59,4144.662001,4144.581383
60,3825.742317,3825.714475
61,3505.024627,3505.014913
62,3187.242852,3187.239472
63,2876.666021,2876.664860
64,2577.008874,2577.008483
65,2291.377502,2291.377373
66,2022.244405,2022.244364
67,1771.449475,1771.449462
68,1540.223365,1540.223361
69,1329.229411,1329.229410
70,1138.619888,1138.619888
71,968.102364,968.102364
72,817.011954,817.011954
73,684.385679,684.385679
74,569.035540,569.035540
75,469.617543,469.617543
76,384.694531,384.694531
77,312.791340,312.791340
78,252.441392,252.441392
79,202.224415,202.224415
80,160.795449,160.795449
81,126.905651,126.905651
82,99.415717,99.415717
83,77.302905,77.302905
84,59.662714,59.662714
85,45.706329,45.706329
86,34.754858,34.754858
87,26.231322,26.231322
88,19.651242,19.651242
89,14.612503,14.612503
90,10.785086,10.785086
91,7.901083,7.901083
92,5.745308,5.745308
93,4.146705,4.146705
94,2.970680,2.970680
95,2.112376,2.112376
96,1.490900,1.490900
97,1.044449,1.044449
98,0.726253,0.726253
99,0.501244,0.501244
