bin_n,pu,pu_err
0,0.000000,0.000000
1,2176.912217,1134.149981
2,248582.338212,46966.452054
3,945244.624722,109034.422471
4,1569280.013056,148067.135721
5,2467134.647493,205076.725859
6,3284327.793847,245149.204927
7,4246996.634370,284874.704098
8,6431987.714928,297425.061965
9,19414505.194934,474760.068799
10,49581964.065375,781487.071643
11,104968347.445428,1256740.541118
12,196858370.238022,1876426.646182
13,316860196.219825,2424157.008432
14,459788764.736152,2983574.951435
15,621389652.826425,3501252.076483
16,800176746.834237,4037509.699711
17,976051838.682714,4545906.013732
18,1114692207.766870,4859814.894276
19,1208527668.363789,5044392.326329
20,1265518064.501412,5154238.426582
21,1289503705.932838,5206002.169679
22,1282868124.699973,5182570.979379
23,1251562684.963392,5112637.621966
24,1202034723.510620,5016141.637424
25,1138466620.859110,4897727.402189
26,1062386558.325768,4754612.703108
27,973322320.628573,4564581.831173
28,872053678.220196,4306906.369241
29,763054791.789488,3992560.365440
30,653281681.870614,3657175.148639
31,548954912.695120,3329299.183696
32,453643536.242259,3013313.040243
33,368635101.015427,2699034.055325
34,294177449.225815,2384539.052579
35,230205251.923850,2078774.274001
36,176413569.628891,1788456.871678
37,132180293.218689,1514639.502000
38,96616884.836746,1257224.639209
39,68709732.262265,1018067.970885
40,47403708.220370,800919.893961
41,31640934.682119,610093.423632
42,20383396.400614,448803.846088
43,12649109.330957,318257.606322
44,7550727.727310,217286.914710
45,4331950.415145,142721.085998
46,2387760.608901,90139.693327
47,1264760.594118,54737.745991
48,644457.997499,32034.417020
49,316729.671462,18299.908278
50,151051.404488,10706.950507
51,70880.855454,7181.450904
52,33734.716841,5967.608623
53,17244.545432,5665.970376
54,10212.930258,5591.863485
55,7309.411369,5540.157932
56,6118.643183,5466.907392
57,5595.593710,5363.676764
58,5310.606303,5230.412563
59,5096.222677,5069.044990
60,4891.379666,4882.247893
61,4676.236579,4673.152383
62,4446.274162,4445.212796
63,4202.469527,4202.093776
64,3947.699116,3947.561924
65,3685.434039,3685.382634
66,3419.244379,3419.224802
67,3152.583464,3152.575966
68,2888.672755,2888.669895
69,2630.429134,2630.428055
70,2380.416145,2380.415745
71,2140.813173,2140.813028
72,1913.400084,1913.400032
73,1699.555657,1699.555639
74,1500.268187,1500.268181
75,1316.156417,1316.156415
76,1147.498859,1147.498858
77,994.269442,994.269442
78,856.177453,856.177453
79,732.709830,732.709830
80,623.174024,623.174024
81,526.739894,526.739894
82,442.479324,442.479324
83,369.402578,369.402578
84,306.490644,306.490644
85,252.723134,252.723134
86,207.101530,207.101530
87,168.667789,168.667789
88,136.518490,136.518490
89,109.814880,109.814880
90,87.789215,87.789215
91,69.747916,69.747916
92,55.072046,55.072046
93,43.215633,43.215633
94,33.702336,33.702336
95,26.120912,26.120912
96,20.119890,20.119890
97,15.401802,15.401802
98,11.717254,11.717254
99,8.859073,8.859073
