bin_n,pu,pu_err
0,0.000000,0.000000
1,235294.670326,28985.743487
2,544542.918538,68126.839428
3,1228290.760139,130795.711716
4,1325636.168697,159433.820316
5,1764600.982193,195839.398660
6,2284566.621394,241708.205814
7,2235965.000853,234473.833490
8,3363901.201705,295332.085351
9,4706863.643674,377773.294158
10,5743799.246100,330890.035220
11,25108966.760236,721182.932578
12,90773821.896205,1683413.236531
13,187953361.106127,2471456.124916
14,292757757.968772,3074327.910222
15,401163110.966038,3525167.292514
16,518343614.654326,4030707.702260
17,624016340.891119,4442063.612369
18,695846031.615437,4684048.079368
19,732236547.319522,4740257.117628
20,753929904.903289,4666433.152731
21,789851415.521226,4724280.981736
22,839565329.064600,4967871.263992
23,873810481.616942,5072383.049000
24,877820631.534500,4977021.172733
25,862744578.317429,4870537.020829
26,841312435.795215,4789021.341998
27,816499542.674685,4692274.695935
28,787011519.346932,4594897.201434
29,750902007.864883,4492493.289778
30,706059852.749671,4358626.956306
31,651417746.443924,4176678.005670
32,587997749.272964,3945161.539460
33,518767664.721020,3672446.686330
34,447605876.302460,3372559.868043
35,378212975.327338,3065151.165165
36,313364832.075317,2766751.100421
37,254639510.469239,2479846.936086
38,202610343.228036,2195692.751375
39,157312877.116881,1906061.615996
40,118643416.231323,1610783.905468
41,86502620.246203,1317917.138354
42,60714208.706118,1039881.473070
43,40884563.388283,789030.333796
44,26347919.426177,574547.463779
45,16221471.228380,400886.470216
46,9529542.914594,267638.653212
47,5337787.653396,170669.992718
48,2849525.175507,103724.164179
49,1449575.065429,59917.876826
50,702777.173521,32807.073410
51,324856.229560,16983.901912
52,143295.485018,8299.680595
53,60405.181100,3827.879365
54,24390.386198,1669.504613
55,9465.999128,692.080824
56,3548.461556,275.180581
57,1293.192336,106.323107
58,461.896218,40.490953
59,163.207559,15.351867
60,57.627871,5.809122
61,20.546416,2.191630
62,7.475142,0.829413
63,2.804224,0.322567
64,1.094814,0.134200
65,0.447388,0.061151
66,0.191280,0.029888
67,0.084963,0.015057
68,0.038763,0.007607
69,0.017945,0.003804
70,0.008341,0.001874
71,0.003863,0.000908
72,0.001774,0.000432
73,0.000805,0.000202
74,0.000360,0.000093
75,0.000159,0.000042
76,0.000069,0.000019
77,0.000029,0.000008
78,0.000012,0.000003
79,0.000005,0.000001
80,0.000002,0.000001
81,0.000001,0.000000
82,0.000000,0.000000
83,0.000000,0.000000
84,0.000000,0.000000
85,0.000000,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.000000,0.000000
89,0.000000,0.000000
90,0.000000,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000000,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000000,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
