bin_n,pu,pu_err
0,0.000000,0.000000
1,241795.091025,29587.895340
2,719648.243313,84339.673625
3,1203617.666665,128968.951037
4,1487191.984122,174065.560901
5,1972103.758161,214414.232271
6,2405928.772871,251782.107191
7,2475708.513745,246613.978593
8,4331888.659132,367586.090833
9,4824256.774634,350615.323369
10,10925051.130084,427422.334185
11,55176199.218451,1261035.631942
12,149574387.313828,2233417.740731
13,263170645.949373,2993777.547517
14,379740864.724213,3522187.971557
15,506189705.002652,4057838.112366
16,628753573.959143,4556717.761863
17,717130859.199921,4865872.286982
18,763326250.750651,4966292.984390
19,787583261.238755,4894203.309875
20,825132193.040706,4936676.663563
21,879397708.382487,5200251.304042
22,916496448.455062,5311743.039131
23,919257765.196917,5202612.958926
24,901557326.863734,5091150.099002
25,877431422.463140,5000214.677838
26,849252211.532779,4892441.362886
27,815209701.492062,4786423.860143
28,772843678.626785,4666450.171131
29,719829210.277914,4502181.731782
30,655694379.736938,4280191.570814
31,582701478.832376,4004355.014701
32,505076418.888359,3687861.466128
33,427518332.437744,3351325.524171
34,353958888.416511,3018268.253788
35,286894441.611526,2699246.826810
36,227407551.737829,2387353.804278
37,175691538.608610,2071234.232428
38,131638061.492545,1747787.402219
39,95127265.521062,1424843.911533
40,65971032.579199,1116811.887027
41,43730489.269010,838788.268314
42,27625647.980139,602188.896390
43,16597822.361394,412528.489970
44,9471252.560760,269206.968403
45,5128769.334636,167012.546890
46,2634339.580793,98242.779544
47,1283305.575956,54624.000071
48,593032.396434,28616.277025
49,260124.999425,14087.740590
50,108430.382135,6508.033955
51,43037.851177,2822.861829
52,16317.349749,1153.778019
53,5937.233228,447.874525
54,2086.865867,167.256184
55,714.615248,61.077408
56,240.855153,22.121019
57,80.813508,7.993390
58,27.316379,2.879382
59,9.415079,1.037838
60,3.349140,0.382951
61,1.243175,0.151227
62,0.484994,0.065940
63,0.198867,0.031099
64,0.085026,0.015163
65,0.037410,0.007408
66,0.016704,0.003576
67,0.007481,0.001698
68,0.003333,0.000791
69,0.001469,0.000362
70,0.000639,0.000162
71,0.000273,0.000071
72,0.000115,0.000031
73,0.000048,0.000013
74,0.000019,0.000005
75,0.000008,0.000002
76,0.000003,0.000001
77,0.000001,0.000000
78,0.000000,0.000000
79,0.000000,0.000000
80,0.000000,0.000000
81,0.000000,0.000000
82,0.000000,0.000000
83,0.000000,0.000000
84,0.000000,0.000000
85,0.000000,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.000000,0.000000
89,0.000000,0.000000
90,0.000000,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000000,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000000,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
