bin_n,pu,pu_err
0,0.000000,0.000000
1,230506.472953,28559.447754
2,410896.705347,57616.491444
3,1238633.959373,133661.762003
4,1176557.975603,146546.393995
5,1604442.897536,183413.880571
6,2115618.061380,228029.471045
7,2138999.154437,229632.005532
8,2609877.057425,247165.755087
9,4368659.142465,370015.632976
10,4421109.752242,311623.043296
11,11047033.022719,414930.607000
12,49194163.094558,1143754.502946
13,126525081.423394,1972289.431352
14,220323167.689749,2632662.787149
15,316482623.238731,3105366.301291
16,418648436.503932,3525272.658053
17,525653862.930445,3983349.028788
18,615784939.543841,4320135.921955
19,674130173.719280,4507661.070954
20,703179130.966626,4530263.953123
21,723171432.664824,4459921.048847
22,757512092.530764,4529919.829530
23,803182284.071392,4755190.153941
24,834882327.369561,4853305.136861
25,839851029.723840,4770181.579779
26,827049001.740612,4668563.375611
27,807926267.990336,4594191.592130
28,785888609.376425,4507795.138810
29,760081380.251856,4417591.043580
30,728958180.817490,4327526.526034
31,690710787.805228,4216645.414324
32,644023318.159011,4067033.698351
33,589065713.450736,3873129.146779
34,527747440.770645,3639402.749186
35,463101789.070081,3375433.606466
36,398402708.925607,3095585.123989
37,336449973.185274,2816686.891395
38,279147510.805530,2548295.088595
39,227460375.064247,2287956.910283
40,181668063.092402,2027293.397189
41,141736214.258618,1760937.169294
42,107576976.490998,1490608.783258
43,79104791.624097,1224102.168898
44,56153385.181435,972061.970101
45,38370113.200685,744655.465167
46,25183866.676576,549337.029570
47,15852800.688533,389739.355899
48,9560636.165705,265589.870284
49,5520357.016372,173582.125752
50,3050514.733803,108600.241428
51,1612994.174333,64892.174489
52,816151.592494,36941.821063
53,395293.848372,19990.232378
54,183380.638456,10265.003274
55,81571.736510,4998.773253
56,34851.565735,2310.668017
57,14338.980995,1017.123105
58,5701.938268,429.038314
59,2202.381589,175.131466
60,831.532844,70.041686
61,309.222061,27.765389
62,114.220096,10.979606
63,42.284216,4.332712
64,15.832115,1.705582
65,6.050927,0.675284
66,2.382059,0.275625
67,0.973480,0.120199
68,0.414881,0.056984
69,0.184262,0.028768
70,0.084750,0.014933
71,0.039968,0.007777
72,0.019121,0.004016
73,0.009192,0.002046
74,0.004410,0.001027
75,0.002100,0.000507
76,0.000990,0.000247
77,0.000461,0.000118
78,0.000212,0.000056
79,0.000096,0.000026
80,0.000043,0.000012
81,0.000019,0.000005
82,0.000008,0.000002
83,0.000003,0.000001
84,0.000001,0.000000
85,0.000001,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.000000,0.000000
89,0.000000,0.000000
90,0.000000,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000000,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000000,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
