nbin,data_pileup,data_pileup_err
1,238752,29042.88
2,815922.5,84739.29
3,1995264,165782.8
4,2494644,204739.8
5,3734140,266045.2
6,5093817,329466.5
7,6130862,357110.9
8,1.181877e+07,419170.2
9,3.378535e+07,699173
10,7.690738e+07,1038956
11,1.747192e+08,1758569
12,3.57433e+08,2814198
13,5.996382e+08,3777856
14,8.727199e+08,4617484
15,1.169832e+09,5339231
16,1.484005e+09,6116660
17,1.754627e+09,6691626
18,1.939364e+09,7022908
19,2.044114e+09,7157550
20,2.095891e+09,7157235
21,2.126517e+09,7182369
22,2.141379e+09,7291406
23,2.117378e+09,7285957
24,2.042756e+09,7122817
25,1.927297e+09,6925863
26,1.778802e+09,6692070
27,1.597153e+09,6359481
28,1.384997e+09,5919239
29,1.152361e+09,5360614
30,9.145448e+08,4672958
31,6.890911e+08,3888220
32,4.919355e+08,3083093
33,3.33123e+08,2342727
34,2.147913e+08,1718333
35,1.325138e+08,1219959
36,7.858864e+07,838256.1
37,4.500013e+07,558877.4
38,2.499956e+07,364228.8
39,1.355191e+07,234289.6
40,7211869,149841.8
41,3787607,95474.95
42,1969820,60456.86
43,1015651,37912.82
44,519006.6,23540.23
45,262810.3,14639.47
46,132226.2,9515.823
47,66733.72,7009.985
48,34544.13,6085.743
49,19086.96,5857.422
50,11843.33,5836.383
51,8519.785,5843.3
52,7001.259,5822.38
53,6283.907,5765.607
54,5902.334,5672.333
55,5647.532,5543.431
56,5429.433,5381.04
57,5211.24,5188.098
58,4979.493,4968.151
59,4730.861,4725.203
60,4466.421,4463.571
61,4189.179,4187.739
62,3902.949,3902.224
63,3611.81,3611.447
64,3319.8,3319.619
65,3030.734,3030.645
66,2748.088,2748.044
67,2474.912,2474.891
68,2213.788,2213.778
69,1966.802,1966.797
70,1735.54,1735.538
71,1521.106,1521.105
72,1324.148,1324.147
73,1144.897,1144.897
74,983.2199,983.2198
75,838.6674,838.6674
76,710.5335,710.5335
77,597.9097,597.9097
78,499.7391,499.7391
79,414.8663,414.8663
80,342.082,342.082
81,280.1624,280.1624
82,227.9014,227.9014
83,184.1373,184.1373
84,147.7726,147.7726
85,117.7887,117.7887
86,93.25467,93.25467
87,73.33219,73.33219
88,57.27639,57.27639
89,44.43378,44.43378
90,34.23791,34.23791
91,26.20338,26.20338
92,19.9188,19.9188
93,15.03919,15.03919
94,11.27823,11.27823
95,8.400634,8.400634
96,6.214952,6.214952
97,4.566859,4.566859
98,3.333123,3.333123
99,2.416231,2.416231
100,1.739717,1.739717
