bins,pile_up,err
1,2090.041,1634.147
2,159957.2,37270.58
3,614018.6,90032.26
4,1245359,138226.3
5,1942449,180488.5
6,2634180,217912.8
7,3540086,248642.7
8,8461725,301976.7
9,2.924788e+07,595657.6
10,6.980631e+07,979870.8
11,1.365182e+08,1510655
12,2.299818e+08,2000196
13,3.522253e+08,2578744
14,4.834155e+08,3109264
15,6.043355e+08,3457511
16,7.189211e+08,3778443
17,8.228206e+08,4054445
18,9.029576e+08,4261760
19,9.528703e+08,4381978
20,9.721272e+08,4434809
21,9.622156e+08,4434387
22,9.244278e+08,4358695
23,8.631495e+08,4218400
24,7.851566e+08,4036309
25,6.953041e+08,3813700
26,5.962465e+08,3528522
27,4.917545e+08,3166443
28,3.88446e+08,2750149
29,2.937781e+08,2318190
30,2.129711e+08,1900686
31,1.479765e+08,1509046
32,9.832202e+07,1143832
33,6.229094e+07,818379.7
34,3.756948e+07,552901.6
35,2.15786e+07,354335.6
36,1.181657e+07,215847.3
37,6177029,125278.8
38,3087511,69699.54
39,1479760,37577.35
40,683087.7,20036.22
41,305854.7,11090.42
42,134436.6,7063.455
43,59359.52,5632.337
44,27542.82,5287.882
45,14455.66,5297.464
46,9219.819,5407.899
47,7180.396,5538.133
48,6406.256,5657.444
49,6116.864,5751.553
50,6002.578,5813.282
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
