"nbin","data_pileup","data_err","mc_pileup","data_pileup_norm","ratio"
1,259022.8,30751.55,0.0000256602,0.00000713098664306537,0.277900664962291
2,1322109,121190,0.0000527857,0.0000363981148365183,0.689544987307516
3,2553142,195311.5,0.0000888954,0.0000702888761137985,0.790691938095768
4,3905555,275704.4,0.000109362,0.000107521270477955,0.98316847239402
5,5445233,341888.8,0.000140973,0.000149909134606601,1.06338897949679
6,6959695,399614.2,0.000240998,0.000191602793595038,0.795038936402121
7,10071660,427479.7,0.00071209,0.000277276258821601,0.389383727929898
8,30289870,708617.4,0.00130121,0.000833890523885104,0.640857758459514
9,76040960,1068724,0.00245255,0.00209343374438802,0.853574338703805
10,185086500,1872410,0.00502589,0.00509549491130402,1.01384927073693
11,403769000,3121567,0.00919534,0.0111158992408539,1.20886223248449
12,700099400,4272780,0.0146697,0.0192739769248811,1.31386305956366
13,1035032000,5244163,0.0204126,0.0284947864324887,1.39594105760602
14,1403411000,6138952,0.0267586,0.0386363868189635,1.44388670629119
15,1771138000,7016123,0.0337697,0.0487600374215147,1.44389904030876
16,2049370000,7556397,0.0401478,0.0564198599378081,1.40530390053273
17,2214535000,7819374,0.0450159,0.060966909112251,1.35434166843829
18,2294873000,7863063,0.0490577,0.063178641843619,1.28784353615475
19,2336489000,7871274,0.0524855,0.0643243446162623,1.22556410087095
20,2359282000,7995569,0.0548159,0.0649518437343144,1.18490882634992
21,2336601000,7997478,0.0559937,0.0643274280147276,1.14883331543955
22,2253587000,7801211,0.0554468,0.0620420240843114,1.1189468839376
23,2128461000,7573208,0.0537687,0.0585972623309051,1.08980247487674
24,1976732000,7299201,0.0512055,0.0544201108509363,1.06277862438481
25,1804470000,6947363,0.0476713,0.0496776788290922,1.04208777249817
26,1619864000,6568791,0.0435312,0.0445954122478116,1.02444711489257
27,1431252000,6183107,0.0393107,0.0394028591107061,1.00234437724859
28,1242995000,5771268,0.0349812,0.0342200792455222,0.978242005577916
29,1057691000,5312570,0.0307413,0.0291185964845197,0.947214219454601
30,879279000,4811730,0.0272425,0.0242068528505131,0.888569435643318
31,712984500,4289609,0.0237115,0.0196287081531535,0.827813852061383
32,563501900,3769394,0.0208329,0.0155134008366907,0.744658729062717
33,433680400,3267720,0.0182459,0.0119393703556569,0.654359080980215
34,324346900,2785539,0.0160712,0.00892938155104362,0.555613865239908
35,234848800,2315669,0.0142498,0.00646546812072115,0.453723429151367
36,163765400,1858550,0.012804,0.00450851770576281,0.352117908916183
37,109332700,1427690,0.011571,0.00300996678033854,0.26013022040779
38,69503380,1043469,0.010547,0.0019134519217146,0.181421439434399
39,41890580,723202.8,0.00959489,0.00115326205434526,0.120195443026993
40,23868440,474786,0.00891718,0.000657106350602369,0.0736899278249815
41,12836620,295515.2,0.00829292,0.000353396557222398,0.0426142489282904
42,6513343,174866.9,0.0076195,0.000179314569739434,0.0235336399684275
43,3119603,98798.25,0.0069806,0.0000858837419897657,0.0123032034480941
44,1412542,53609.71,0.0062025,0.0000388877663849238,0.00626969228293814
45,606631.3,28253.76,0.00546581,0.0000167007680310976,0.00305549736106773
46,248890,15020.69,0.00484127,0.00000685202717904579,0.00141533671516891
47,99263.53,9025.093,0.00407168,0.00000273275907207211,0.000671162535383946
48,40137.22,6943.893,0.00337681,0.00000110499145136944,0.000327229382573921
49,17966.36,6360.908,0.00269893,0.000000494620061185749,0.00018326524259086
50,9994.005,6124.497,0.00212473,0.000000275138390001685,0.000129493342684334
51,7159.277,5918.197,0.00160208,0.000000197097354599692,0.000123025912937988
52,6071.36,5683.051,0.00117884,0.000000167146625954323,0.000141789068876457
53,5535.195,5414.046,0.000859662,0.000000152385819363246,0.000177262481490686
54,5154.569,5115.681,0.000569085,0.000000141907054860649,0.000249360033844942
55,4807.443,4794.138,0.000365431,0.000000132350556863327,0.000362176599312392
56,4460.928,4455.958,0.000243565,0.000000122810879905847,0.000504222199026327
57,4109.698,4107.673,0.00015688,0.000000113141397379043,0.000721197076612974
58,3756.455,3755.575,0.0000988128,0.000000103416496270893,0.00104659008014035
59,3405.931,3405.534,0.0000653783,0.0000000937664501665579,0.00143421364835974
60,3063.024,3062.843,0.0000373924,0.0000000843261026882138,0.00225516689723617
61,2732.189,2732.106,0.0000261382,0.0000000752181015158903,0.00287770778079172
62,2417.202,2417.164,0.000020307,0.0000000665464012264206,0.00327701783751517
63,2121.077,2121.06,0.0000173032,0.0000000583939782749363,0.00337475023550189
64,1846.044,1846.036,0.00001435,0.0000000508222253273109,0.00354161848970807
65,1593.568,1593.565,0.0000136486,0.0000000438714743366854,0.00321435710158444
66,1364.407,1364.405,0.0000135555,0.0000000375625933033883,0.00277102233804643
67,1158.678,1158.677,0.0000137491,0.0000000318988032776022,0.00232006482443231
68,975.9518,975.9515,0.0000134255,0.0000000268682882359221,0.00200128771635486
69,815.3458,815.3457,0.0000133987,0.000000022446749897227,0.0016752931177821
70,675.6222,675.6221,0.0000134061,0.0000000186001112024055,0.0013874364059947
71,555.284,555.284,0.0000134211,0.0000000152871592273264,0.00113903921640748
72,452.6642,452.6642,0.0000134177,0.0000000124620008894733,0.000928773253946156
73,366.0051,366.0051,0.0000132959,0.00000001007624610418,0.000757846110769489
74,293.5272,293.5272,0.0000133287,0.00000000808090462529314,0.000606278528685703
