"nbin","data_pileup","data_pileup_err","data_pileup_norm","data_pileup_err_norm","pileup_up","pileup_up_err","pileup_up_err_norm","pileup_up_norm","pileup_down","pileup_down_err","pileup_down_norm","pileup_down_err_norm","pileup_normalized_average","pileup_normalized_average_dev"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,238797,29042.9,6.54007922974115e-06,7.95415633619557e-07,232683.4,28581.96,7.82791587523613e-07,6.37264232671209e-06,247408,29719.14,6.77591365287949e-06,8.13936196395577e-07,1.81361853707851e-05,1.85520664014766e-06
2,837542.9,85416.9,2.29382987403827e-05,2.33936478916769e-06,659479,74333.76,2.03582406514456e-06,1.80615539784005e-05,1069198,101757.6,2.92827771366788e-05,2.78689739670605e-06,2.51834395072763e-05,2.728182132736e-06
3,2308427,177722,6.3222299593687e-05,4.86738091713069e-06,2183879,172493.4,4.72418205131298e-06,5.98112274095087e-05,2428237,184479.2,6.65036063535824e-05,5.05244426191669e-06,5.24101138121502e-05,4.5791512908472e-06
4,3124754,229527.4,8.55795455280032e-05,6.28620703524956e-06,2745838,208326,5.70555134296053e-06,7.52019416129147e-05,3566847,255077.3,9.76874122301309e-05,6.9859574452307e-06,8.85918705332136e-05,7.47241866607732e-06
5,4476191,291310.9,0.000122592175728566,7.97830946991462e-06,4071578,275131.1,7.5351834005127e-06,0.00011151079234406,4991648,316068.3,0.000136709305412794,8.65635512680434e-06,0.000110734620827493,7.0474118363244e-06
6,5995911,358738.4,0.000164213675190545,9.82498757836394e-06,5399946,334806.8,9.16955822783675e-06,0.000147891617715572,6592952,382152.9,0.000180565193807715,1.04662543353387e-05,0.000142989100188599,9.14330915561944e-06
7,7000896,383673.2,0.000191737812950656,1.05078921691995e-05,6385996,365902.2,1.00211869310706e-05,0.000174897171039335,8096814,402411.1,0.00022175237877282,1.10210780029759e-05,0.00024377802097105,8.67233562365861e-06
8,12891650,448703.4,0.000353071489181575,1.22889139589452e-05,9041865,386720.3,1.05913449450145e-05,0.000247635076724066,19960350,568214.2,0.000546666268193644,1.55620285340005e-05,0.000719705405469332,2.4322909380679e-05
9,35261730,724792.2,0.000965734527559979,1.9850326482738e-05,23783160,601920.8,1.64851724162893e-05,0.000651363922303722,51908800,861600.3,0.00142165793597859,2.35971724281149e-05,0.00130384687111307,2.25372414738296e-05
10,78701230,1057906,0.00215543863481568,2.89735174965286e-05,54003070,841326.9,2.30419334320432e-05,0.00147901504642959,119764000,1389320,0.00328004964561962,3.80501534154859e-05,0.00243814487048112,2.72424144008542e-05
11,176945800,1773199,0.00484612265384377,4.85636835893993e-05,116015400,1323467,3.62465986925009e-05,0.00317738458605313,272738500,2412996,0.0074696554913983,6.60861917995521e-05,0.00502286111472872,4.40472755972655e-05
12,360089500,2824644,0.00986199097893975,7.73602497343474e-05,246052500,2197533,6.01851778431405e-05,0.00673879003011528,513115200,3515938,0.0140529986466888,9.62931364259757e-05,0.00921290762563555,7.03152933761883e-05
13,602766500,3787157,0.0165083341375049,0.000103721180900383,443385300,3125134,8.55899527213676e-05,0.0121432638934361,802264500,4517149,0.0219721067175295,0.000123713912166102,0.0146744312393409,6.97513238266567e-05
14,876519400,4626545,0.0240057719418802,0.000126710012520939,680111900,3979024,0.000108975959442759,0.0186266398068817,1118678000,5329216,0.0306379160470798,0.000145954485924238,0.0204535034659742,9.08828998357897e-05
15,1174474000,5350099,0.0321660364798176,0.00014652642766433,937872300,4679964,0.000128173031139689,0.025686081241854,1462897000,6177158,0.0400652515482783,0.000169177590167633,0.0267515700163118,8.45354035511348e-05
16,1489059000,6128029,0.0407817679357744,0.000167832071517446,1218825000,5359947,0.000146796140683579,0.0333807043555959,1780128000,6889697,0.0487534502484683,0.000188692329942859,0.0337555198842521,0.00010118827099929
17,1759352000,6699651,0.0481844473465058,0.000183487432219059,1501706000,6044198,0.00016553614054904,0.0411281389986458,2005117000,7306155,0.0549153610874376,0.000200098118955546,0.0401372053508807,0.000158597928001474
18,1943926000,7029612,0.0532394881709309,0.000192524275574396,1730477000,6502413,0.000178085554489761,0.0473936300380764,2135017000,7493466,0.0584730115413802,0.000205228119449606,0.0450096202771385,9.61282815243112e-05
