"bins","mc_mean_norm_value"
0.5,0.00082501832585997
1.5,0.00124253456258613
2.5,0.00339065001724438
3.5,0.00407978441712254
4.5,0.00383164826773735
5.5,0.00658814496085291
6.5,0.00816929500304136
7.5,0.00945286905847709
8.5,0.0137786920492643
9.5,0.0170581998208535
10.5,0.0213435126026932
11.5,0.0247206414354382
12.5,0.0280857974817627
13.5,0.0323397280720477
14.5,0.0370965193516309
15.5,0.0456608714734453
16.5,0.0558926726801723
17.5,0.0577204231992209
18.5,0.062527412337251
19.5,0.0590845752888014
20.5,0.0656851739631661
21.5,0.0677611453417422
22.5,0.0625477104362719
23.5,0.0548047087896607
24.5,0.0503760190358693
25.5,0.0402292652236756
26.5,0.0374555119122593
27.5,0.029987676844778
28.5,0.0271948890507332
29.5,0.0219182637801338
30.5,0.0179405278918546
31.5,0.0142919847946953
32.5,0.00841105299928684
33.5,0.00521990460635842
34.5,0.00224039653913066
35.5,0.000776584432386849
36.5,0.000197257154150833
37.5,0.0000729367983433871
38.5,0
39.5,0
40.5,0
41.5,0
42.5,0
43.5,0
44.5,0
45.5,0
46.5,0
47.5,0
48.5,0
49.5,0
50.5,0
51.5,0
52.5,0
53.5,0
54.5,0
55.5,0
56.5,0
57.5,0
58.5,0
59.5,0
60.5,0
61.5,0
62.5,0
63.5,0
64.5,0
65.5,0
66.5,0
67.5,0
68.5,0
69.5,0
70.5,0
71.5,0
72.5,0
73.5,0
74.5,0
75.5,0
76.5,0
77.5,0
78.5,0
79.5,0
80.5,0
81.5,0
82.5,0
83.5,0
84.5,0
85.5,0
86.5,0
87.5,0
88.5,0
89.5,0
90.5,0
91.5,0
92.5,0
93.5,0
94.5,0
95.5,0
96.5,0
97.5,0
98.5,0
99.5,0
