nbin,mc_pileup
1,2.56602e-05
2,5.27857e-05
3,8.88954e-05
4,0.000109362
5,0.000140973
6,0.000240998
7,0.00071209
8,0.00130121
9,0.00245255
10,0.00502589
11,0.00919534
12,0.0146697
13,0.0204126
14,0.0267586
15,0.0337697
16,0.0401478
17,0.0450159
18,0.0490577
19,0.0524855
20,0.0548159
21,0.0559937
22,0.0554468
23,0.0537687
24,0.0512055
25,0.0476713
26,0.0435312
27,0.0393107
28,0.0349812
29,0.0307413
30,0.0272425
31,0.0237115
32,0.0208329
33,0.0182459
34,0.0160712
35,0.0142498
36,0.012804
37,0.011571
38,0.010547
39,0.00959489
40,0.00891718
41,0.00829292
42,0.0076195
43,0.0069806
44,0.0062025
45,0.00546581
46,0.00484127
47,0.00407168
48,0.00337681
49,0.00269893
50,0.00212473
51,0.00160208
52,0.00117884
53,0.000859662
54,0.000569085
55,0.000365431
56,0.000243565
57,0.00015688
58,9.88128e-05
59,6.53783e-05
60,3.73924e-05
61,2.61382e-05
62,2.0307e-05
63,1.73032e-05
64,1.435e-05
65,1.36486e-05
66,1.35555e-05
67,1.37491e-05
68,1.34255e-05
69,1.33987e-05
70,1.34061e-05
71,1.34211e-05
72,1.34177e-05
73,1.32959e-05
74,1.33287e-05
