process,energy,pat_sign,pat_len,geom_sign,geom_len
32,75.086888,9.730818,0.694843,20.917591,0.851463
32,60.409636,9.486029,0.626535,5.403111,0.799262
23,39.163044,15.090958,0.428898,2.326934,0.466272
32,76.755152,6.683774,0.225249,6.255093,0.447895
32,51.204365,24.659666,0.938688,12.305910,0.967491
24,88.193740,33.580116,5.863982,8.430597,1.749510
23,36.605441,20.033918,0.531803,5.090967,0.747562
42,71.951814,13.018632,0.513518,4.273147,0.698668
32,76.853688,10.031086,0.560477,29.279812,0.377466
42,71.278246,13.849638,1.304299,9.214852,1.093598
42,53.831219,3.855032,0.105538,18.870689,0.318019
42,85.243429,17.672108,1.829999,41.435806,1.439321
32,38.789679,7.727140,0.315765,2.009093,0.643619
32,38.685551,9.786035,0.062802,4.239305,0.245942
32,42.956442,4.312261,0.075180,8.866646,0.232603
23,50.463997,1.892759,0.017743,2.172642,0.192905
32,57.458406,6.658690,0.191209,3.944858,0.388638
32,45.295207,8.434543,0.104829,4.038184,0.315327
42,158.604787,26.717400,4.066973,9.358611,2.006701
32,64.711391,7.404023,0.236381,4.371418,0.518615
32,39.201145,2.949606,0.034543,2.696053,0.225306
42,365.672381,7.569045,2.869692,16.251135,1.731432
32,115.729358,1.522709,0.020509,2.789692,0.283045
32,51.982163,11.692461,0.304782,21.946388,0.570473
42,43.811558,6.520687,0.233741,26.795845,0.462856
23,110.819741,1.887374,0.046179,3.371902,0.258664
24,76.021150,79.775841,28.059380,7.054818,4.778862
42,38.407863,8.295344,0.440517,20.238962,0.695020
42,124.741978,21.525900,4.073542,20.822327,2.069755
21,123.656544,3.354759,0.465913,7.289023,0.713265
42,46.376222,6.973862,0.199146,5.610117,0.464971
32,120.119362,4.421880,0.230692,2.006814,0.548051
32,103.216461,3.226314,0.291571,46.437935,0.529676
23,66.420604,3.366780,0.112263,3.355978,0.290664
32,43.572480,5.192685,0.058330,3.563849,0.246107
32,50.339871,5.792345,0.035920,3.977164,0.163491
42,230.805801,8.310115,1.764474,4.643996,0.839729
24,45.178143,12.912937,1.239985,46.808449,1.133700
21,148.705550,2.037490,1.029712,2.077682,1.274741
21,100.853702,2.073123,0.066721,5.190784,0.403618
24,80.967052,24.573460,3.891355,3.178940,1.755234
42,49.665250,15.975412,1.408620,3.304052,1.309992
32,48.668783,12.229324,0.424395,17.706888,0.660813
32,239.534616,21.842230,16.010929,11.137992,4.026611
42,69.867652,22.986519,1.878519,12.782380,1.194050
42,45.305075,9.107159,0.646790,2.219104,0.765675
24,377.775551,12.792674,15.005771,2.982260,3.705663
42,51.828105,2.866079,0.025981,2.646112,0.157479
23,54.224835,7.762106,0.228253,2.159600,0.515178
42,176.370754,19.375340,6.054781,12.873328,2.566861
32,100.286043,19.951117,1.165040,8.623790,1.043828
32,181.671784,12.838426,8.400742,2.878021,2.309774
42,97.934130,11.075853,0.248265,2.163396,0.471818
23,44.867541,9.711637,0.101250,4.425884,0.292906
21,33.078977,4.334319,0.107088,3.022854,0.347995
32,57.092939,4.201795,0.080077,47.899162,0.323664
24,41.598398,7.374384,0.142496,10.344401,0.380350
32,79.738560,7.475446,0.220367,3.906117,0.395706
32,117.691186,7.385192,0.224886,4.111087,0.492953
32,54.225215,8.998522,0.210294,5.243701,0.453454
32,79.516254,7.903897,0.285927,9.603305,0.558935
42,81.851324,12.950140,1.080414,3.244111,0.960297
23,40.035790,6.630083,0.274457,3.354099,0.576188
32,46.904182,4.751920,0.049062,3.013737,0.227478
32,35.080038,20.829672,1.083731,3.252900,0.977142
32,96.185487,12.947131,0.750839,8.033820,0.880402
