bin_n,pu,pu_err
0,0.000000,0.000000
1,1826.565183,1613.574022
2,60399.190804,19525.676053
3,337866.311938,66187.499841
4,636538.192944,95354.786478
5,1053418.177325,126643.481523
6,1453783.652313,153788.563192
7,1966485.141162,165210.691069
8,6477128.514009,227887.164074
9,23651351.524532,535406.851815
10,49164561.695249,734134.244235
11,90435390.178837,1126525.480355
12,142137287.682233,1514627.528639
13,190641861.167108,1678111.012298
14,245016174.666645,1870262.599116
15,314743401.985772,2205207.042827
16,389580813.586620,2533914.285600
17,449781270.840586,2735530.599319
18,487357771.512610,2850789.809936
19,504682502.277457,2923294.670851
20,502382551.967236,2940286.586874
21,480599572.036587,2903487.107122
22,441818218.031656,2806541.475448
23,390560660.378987,2649328.887551
24,332205358.298828,2440018.631353
25,271581452.531432,2181947.445520
26,212517942.866652,1880900.537565
27,158234363.269955,1550461.020304
28,111430849.330652,1212432.895064
29,73865799.158725,893292.289649
30,45956175.046716,617100.461553
31,26810313.639418,398731.884893
32,14677981.008260,240888.777788
33,7556941.838286,136255.778635
34,3669668.219328,72469.721950
35,1686981.124443,36740.262216
36,737862.622201,18586.819377
37,309689.829638,10589.621253
38,126947.394948,7655.146745
39,52820.705424,6548.589768
40,24033.766808,5945.381287
41,13178.578415,5537.475652
42,9089.906627,5285.876689
43,7473.271036,5179.853593
44,6760.454278,5191.062872
45,6400.817170,5279.083520
46,6201.527744,5404.733429
47,6088.533603,5537.635203
48,6025.625174,5657.372706
49,5989.230370,5751.543196
50,5961.483721,5813.281096
51,5928.095924,5838.750412
52,5873.671472,5821.551387
53,5794.900796,5765.461497
54,5688.413805,5672.306178
55,5551.965682,5543.425934
56,5385.426536,5381.038714
57,5190.282486,5188.097279
58,4969.205634,4968.150753
59,4725.697062,4725.203437
60,4463.795160,4463.571247
61,4187.837602,4187.739143
62,3902.265891,3902.223922
63,3611.464044,3611.446702
64,3319.625904,3319.618958
65,3030.647870,3030.645173
66,2748.045306,2748.044291
67,2474.891542,2474.891172
68,2213.778446,2213.778315
69,1966.797270,1966.797225
70,1735.538032,1735.538017
71,1521.105225,1521.105220
72,1324.147286,1324.147284
73,1144.896983,1144.896983
74,983.219799,983.219798
75,838.667402,838.667402
76,710.533517,710.533517
77,597.909722,597.909722
78,499.739138,499.739138
79,414.866308,414.866308
80,342.082042,342.082042
81,280.162406,280.162406
82,227.901403,227.901403
83,184.137275,184.137275
84,147.772614,147.772614
85,117.788701,117.788701
86,93.254671,93.254671
87,73.332192,73.332192
88,57.276388,57.276388
89,44.433776,44.433776
90,34.237906,34.237906
91,26.203376,26.203376
92,19.918796,19.918796
93,15.039188,15.039188
94,11.278227,11.278227
95,8.400634,8.400634
96,6.214952,6.214952
97,4.566859,4.566859
98,3.333123,3.333123
99,2.416231,2.416231
