bin_n,pu,pu_err
0,0.000000,0.000000
1,0.099156,0.075686
2,18922.604575,13597.233814
3,68599.733118,30761.913875
4,176189.878777,53626.311764
5,308782.415302,78110.392662
6,343924.468138,85381.988307
7,345896.763722,81583.581417
8,737328.181293,110928.241146
9,4131671.985431,194590.356666
10,18200178.439034,617453.401396
11,36711845.925745,975526.811198
12,45723357.301614,1055814.878979
13,52308732.016525,1100237.312982
14,64708651.954651,1296951.161313
15,76196106.914190,1407300.260282
16,87565442.984477,1451766.823408
17,108772178.437703,1648273.149776
18,135621443.355534,1888681.001683
19,158276485.520383,2020117.186751
20,175437274.048169,2113640.737496
21,188142645.036920,2199711.660534
22,194419966.714024,2219461.339075
23,193896622.396427,2184767.292453
24,188741953.359533,2150187.336707
25,179714377.300769,2127852.955887
26,165197008.766713,2065667.252454
27,144176940.897239,1914705.538839
28,118609584.463389,1688634.553225
29,92347405.342513,1432716.874249
30,68582561.621821,1184244.081716
31,48765233.524833,951060.045973
32,33118183.604821,723220.606384
33,21396758.679762,511626.275064
34,13147954.874103,340286.649813
35,7714056.799276,216939.410112
36,4337653.454339,133399.423081
37,2339247.738326,78803.300163
38,1207653.889561,44477.026551
39,595300.804427,23889.286862
40,279571.115478,12187.808984
41,124888.396066,5906.372368
42,53021.534965,2722.203678
43,21391.106454,1195.087431
44,8205.277211,500.364591
45,2995.301796,199.887916
46,1041.708388,76.159544
47,345.490444,27.643879
48,109.347447,9.543560
49,33.035655,3.128240
50,9.525315,0.971987
51,2.619582,0.285888
52,0.686476,0.079514
53,0.171216,0.020896
54,0.040591,0.005186
55,0.009135,0.001215
56,0.001949,0.000269
57,0.000394,0.000056
58,0.000075,0.000011
59,0.000014,0.000002
60,0.000002,0.000000
61,0.000000,0.000000
62,0.000000,0.000000
63,0.000000,0.000000
64,0.000000,0.000000
65,0.000000,0.000000
66,0.000000,0.000000
67,0.000000,0.000000
68,0.000000,0.000000
69,0.000000,0.000000
70,0.000000,0.000000
71,0.000000,0.000000
72,0.000000,0.000000
73,0.000000,0.000000
74,0.000000,0.000000
75,0.000000,0.000000
76,0.000000,0.000000
77,0.000000,0.000000
78,0.000000,0.000000
79,0.000000,0.000000
80,0.000000,0.000000
81,0.000000,0.000000
82,0.000000,0.000000
83,0.000000,0.000000
84,0.000000,0.000000
85,0.000000,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.000000,0.000000
89,0.000000,0.000000
90,0.000000,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000000,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000000,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
