bin_n,pu,pu_err
0,0.000000,0.000000
1,262.326301,258.486492
2,80702.464547,28687.361894
3,218562.783889,53854.408635
4,436846.671600,84579.964204
5,587296.413401,102545.006097
6,845357.163565,129440.016629
7,1232067.543474,167005.488837
8,1263695.328900,164704.961090
9,1499082.792222,175497.922163
10,2484486.642417,201628.436470
11,9414704.683677,248591.490442
12,42188783.268608,769389.109032
13,109452839.357157,1619585.952255
14,174140917.735364,2118409.152551
15,214354113.425469,2261109.878364
16,243543006.533432,2398979.743530
17,267130761.387377,2501702.962531
18,284053097.328480,2551706.101009
19,295013123.165816,2577519.488829
20,299907248.940480,2576286.211496
21,298825500.951656,2543574.132202
22,292635057.679957,2499523.023486
23,281907109.724666,2455716.580754
24,266235314.465132,2392916.923317
25,245119127.432439,2293252.463953
26,219059151.782318,2155537.559070
27,189558232.522632,1989052.824087
28,158478961.030433,1800489.578464
29,127584230.894054,1588491.340763
30,98434878.228090,1352529.866165
31,72399637.461846,1101684.488030
32,50524388.399278,852802.478593
33,33336295.613424,624033.017123
34,20751345.385185,429712.697473
35,12177317.136459,277742.839473
36,6740946.529451,168668.794425
37,3528047.187458,96812.556783
38,1752892.689277,53115.146482
39,831632.471544,28257.300860
40,379480.880958,14749.910212
41,167787.159843,7579.488845
42,72325.002721,3813.333819
43,30495.100305,1861.211324
44,12577.079206,874.183802
45,5059.535591,393.003790
46,1976.582498,168.591759
47,746.371504,68.894588
48,271.283433,26.793371
49,94.598375,9.910813
50,31.569457,3.485466
51,10.064714,1.165088
52,3.061477,0.370092
53,0.887664,0.111696
54,0.245159,0.032025
55,0.064460,0.008722
56,0.016128,0.002256
57,0.003839,0.000554
58,0.000869,0.000129
59,0.000187,0.000029
60,0.000038,0.000006
61,0.000007,0.000001
62,0.000001,0.000000
63,0.000000,0.000000
64,0.000000,0.000000
65,0.000000,0.000000
66,0.000000,0.000000
67,0.000000,0.000000
68,0.000000,0.000000
69,0.000000,0.000000
70,0.000000,0.000000
71,0.000000,0.000000
72,0.000000,0.000000
73,0.000000,0.000000
74,0.000000,0.000000
75,0.000000,0.000000
76,0.000000,0.000000
77,0.000000,0.000000
78,0.000000,0.000000
79,0.000000,0.000000
80,0.000000,0.000000
81,0.000000,0.000000
82,0.000000,0.000000
83,0.000000,0.000000
84,0.000000,0.000000
85,0.000000,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.000000,0.000000
89,0.000000,0.000000
90,0.000000,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000000,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000000,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
