bin_n,pu,pu_err
0,0.000000,0.000000
1,84.475542,83.077831
2,68228.331057,26691.170083
3,239345.856359,59657.150332
4,342171.106056,73274.216908
5,586628.100908,105481.443641
6,753516.266952,124976.303831
7,841143.335560,142311.330523
8,688139.373519,121980.140063
9,812556.151990,126119.534006
10,2559284.748459,189418.900682
11,14638904.055024,573199.101519
12,38279782.827068,1060610.279424
13,59740974.187306,1246208.214577
14,88651356.553272,1460739.326166
15,131062790.453637,1833580.061581
16,172084378.757543,2164885.509810
17,194255845.673009,2275016.170411
18,200511907.531256,2262633.916706
19,201516287.781148,2240250.729678
20,201700326.062193,2223370.294606
21,201524752.957202,2191868.176710
22,201717904.715334,2152898.905462
23,203385469.446730,2141033.791031
24,206144641.646761,2157724.160082
25,208028155.481878,2179507.498643
26,207058781.409830,2179994.245941
27,202344796.539814,2147886.417380
28,194085155.641278,2092113.312868
29,182869732.916456,2027844.611545
30,169119736.165347,1956810.987425
31,153053724.323522,1866999.620218
32,135011851.904840,1750639.900929
33,115676495.198921,1610863.316916
34,95994377.654095,1452887.566754
35,76939989.779617,1278126.697067
36,59354841.736945,1087985.758532
37,43889706.103828,888998.916913
38,30978260.890036,693080.837579
39,20795522.239432,513581.281754
40,13241877.117103,360946.683815
41,7985471.395161,240325.896611
42,4557656.187358,151516.587806
43,2462166.664692,90430.785847
44,1259845.284334,51084.991468
45,611236.175779,27310.517314
46,281573.488408,13817.976756
47,123355.231513,6620.098268
48,51482.642890,3007.229293
49,20506.325759,1298.222513
50,7809.502264,534.265943
51,2848.455992,210.290608
52,996.542339,79.368966
53,334.797926,28.754075
54,108.086345,9.991880
55,33.537238,3.323581
56,9.997373,1.055548
57,2.860766,0.319356
58,0.784909,0.091897
59,0.206226,0.025130
60,0.051823,0.006530
61,0.012442,0.001613
62,0.002852,0.000379
63,0.000624,0.000085
64,0.000130,0.000018
65,0.000026,0.000004
66,0.000005,0.000001
67,0.000001,0.000000
68,0.000000,0.000000
69,0.000000,0.000000
70,0.000000,0.000000
71,0.000000,0.000000
72,0.000000,0.000000
73,0.000000,0.000000
74,0.000000,0.000000
75,0.000000,0.000000
76,0.000000,0.000000
77,0.000000,0.000000
78,0.000000,0.000000
79,0.000000,0.000000
80,0.000000,0.000000
81,0.000000,0.000000
82,0.000000,0.000000
83,0.000000,0.000000
84,0.000000,0.000000
85,0.000000,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.000000,0.000000
89,0.000000,0.000000
90,0.000000,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000000,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000000,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
