bin_n,pu,pu_err
0,0.000000,0.000000
1,1327.849274,799.442351
2,64742.979087,23521.495551
3,215744.743949,51877.106129
4,207295.089180,52654.210446
5,173369.032973,52189.027252
6,306705.895145,83063.172232
7,376200.199711,100651.766378
8,356989.358356,88702.224611
9,448236.010894,106620.406062
10,522430.483503,113572.793504
11,582058.164878,113660.190126
12,882089.333920,135630.710407
13,2500271.440588,174938.205102
14,10996315.594376,387747.788130
15,36575402.199184,935284.233335
16,77387866.105420,1525279.446359
17,114713620.639913,1872524.191275
18,139815788.799306,2034308.384592
19,156766260.795852,2140181.495043
20,167660250.876529,2211666.972836
21,173436013.638229,2199883.499055
22,178681487.953183,2211996.268658
23,185275309.997176,2248466.305136
24,191420241.071502,2269943.334989
25,195650888.149494,2280290.877499
26,196696272.377057,2276659.303342
27,193294262.340337,2243649.294897
28,184875684.271979,2174313.275452
29,171883222.508750,2079382.630942
30,155337623.776675,1966017.197454
31,136332984.355723,1830466.935285
32,115939035.174611,1667089.143042
33,95284235.389944,1476977.363415
34,75532909.804303,1270464.746044
35,57727568.576120,1063990.613841
36,42587259.056408,873288.813183
37,30398173.879467,707217.696088
38,21048138.900752,566247.862888
39,14163128.444512,446095.357308
40,9262493.157494,342553.515017
41,5877483.541941,253976.405485
42,3607560.521270,180529.497357
43,2133990.039225,122482.860389
44,1212169.831929,79100.348117
45,659152.948966,48517.046026
46,342303.381206,28197.475191
47,169457.741560,15488.401749
48,79867.915029,8019.412720
49,35804.002483,3904.604926
50,15256.157292,1784.277341
51,6176.518723,764.180995
52,2375.910479,306.518261
53,868.882186,115.147643
54,302.519186,40.557411
55,100.530192,13.431872
56,32.007555,4.207479
57,9.815002,1.260610
58,2.917469,0.368073
59,0.846559,0.107353
60,0.241379,0.031915
61,0.067957,0.009693
62,0.018931,0.002962
63,0.005214,0.000894
64,0.001416,0.000263
65,0.000377,0.000075
66,0.000098,0.000021
67,0.000025,0.000005
68,0.000006,0.000001
69,0.000001,0.000000
70,0.000000,0.000000
71,0.000000,0.000000
72,0.000000,0.000000
73,0.000000,0.000000
74,0.000000,0.000000
75,0.000000,0.000000
76,0.000000,0.000000
77,0.000000,0.000000
78,0.000000,0.000000
79,0.000000,0.000000
80,0.000000,0.000000
81,0.000000,0.000000
82,0.000000,0.000000
83,0.000000,0.000000
84,0.000000,0.000000
85,0.000000,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.000000,0.000000
89,0.000000,0.000000
90,0.000000,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000000,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000000,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
