bin_n,pu,pu_err
0,0.000000,0.000000
1,11838.628752,4043.059054
2,161822.056526,40963.088583
3,375927.189034,74937.911293
4,588410.033624,102895.494682
5,773238.875193,124270.169343
6,1069925.284518,162576.500810
7,1093820.924077,162945.117694
8,1235581.092386,184587.620039
9,1494452.372030,170478.235467
10,3170813.077436,241716.841872
11,13053568.354767,485377.792665
12,49210484.600364,1224716.629192
13,108066329.560765,1878517.737813
14,166082733.560238,2368356.607718
15,211145620.436089,2547730.845582
16,260840201.877193,2836631.395591
17,308506007.954122,3097865.398759
18,339570262.581375,3229198.814522
19,352203012.086441,3225890.514428
20,357436215.630891,3149807.709277
21,368233079.607615,3135051.360831
22,387851929.038170,3233871.761601
23,408718315.293575,3315675.504692
24,423539325.982873,3359006.603568
25,430104112.960048,3368821.770230
26,428632465.646840,3330405.878468
27,420491207.621997,3277812.544747
28,406765916.925871,3235910.161226
29,386618877.430525,3181273.356334
30,358167843.703712,3080432.370216
31,320657323.238059,2909942.033468
32,275643199.548165,2663475.339962
33,226728806.396982,2354819.062259
34,178299227.643658,2007788.189640
35,134170649.723650,1650096.867454
36,96790169.069087,1309339.110547
37,67093078.468507,1006276.218058
38,44801339.923168,751603.432239
39,28891153.188684,547328.965293
40,18036204.404359,389630.517173
41,10924646.670881,271539.434958
42,6433584.131934,185203.038810
43,3690208.311887,123354.811634
44,2064173.541097,79954.081622
45,1126617.961147,50228.414410
46,599840.541540,30464.373889
47,311242.048311,17780.298273
48,157143.615086,9961.440252
49,77059.521068,5348.929163
50,36631.151026,2750.926679
51,16849.688677,1355.225627
52,7488.533956,640.062615
53,3211.995937,290.217630
54,1328.660479,126.565441
55,529.876092,53.197285
56,203.736420,21.592861
57,75.549279,8.477632
58,27.031723,3.222536
59,9.337945,1.186197
60,3.116094,0.422583
61,1.004976,0.145545
62,0.313341,0.048398
63,0.094457,0.015517
64,0.027526,0.004791
65,0.007752,0.001423
66,0.002109,0.000406
67,0.000554,0.000111
68,0.000140,0.000029
69,0.000034,0.000007
70,0.000008,0.000002
71,0.000002,0.000000
72,0.000000,0.000000
73,0.000000,0.000000
74,0.000000,0.000000
75,0.000000,0.000000
76,0.000000,0.000000
77,0.000000,0.000000
78,0.000000,0.000000
79,0.000000,0.000000
80,0.000000,0.000000
81,0.000000,0.000000
82,0.000000,0.000000
83,0.000000,0.000000
84,0.000000,0.000000
85,0.000000,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.000000,0.000000
89,0.000000,0.000000
90,0.000000,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000000,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000000,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
