bin_n,pu,pu_err
0,0.000000,0.000000
1,0.000000,0.000000
2,10.275920,10.275917
3,21179.912401,20827.999645
4,30506.564877,28233.116740
5,49399.625698,36810.913671
6,42595.759869,31228.705150
7,35653.820710,35553.268446
8,1436.253548,1434.761166
9,369.205071,268.111783
10,14429.875718,9768.073760
11,97349.655924,58092.603491
12,156809.522666,79150.978499
13,90971.564572,56929.841516
14,38100.369863,15832.977194
15,249804.492516,36678.327081
16,1755600.230881,131757.567714
17,6771588.729348,408090.915732
18,14443301.906349,744481.490257
19,18917156.051078,863540.995544
20,18559063.413920,780923.800266
21,17778329.341175,727981.545455
22,18789209.983020,787080.946645
23,19965781.726756,822669.717737
24,19914779.078540,808051.344570
25,18770428.793647,777215.124633
26,16920462.873731,744354.943758
27,14425658.173809,694998.841537
28,11341164.014116,610722.709051
29,8012142.770685,487684.221248
30,4979828.409009,342764.806288
31,2677519.020907,206781.603702
32,1229069.252615,105343.444526
33,476917.670109,44902.337163
34,155283.245606,15927.112785
35,42196.542400,4684.506583
36,9532.585464,1139.504780
37,1785.242098,228.775556
38,276.575620,37.847367
39,35.386511,5.152524
40,3.734016,0.576624
41,0.324584,0.052998
42,0.023220,0.003998
43,0.001366,0.000247
44,0.000066,0.000013
45,0.000003,0.000001
46,0.000000,0.000000
47,0.000000,0.000000
48,0.000000,0.000000
49,0.000000,0.000000
50,0.000000,0.000000
51,0.000000,0.000000
52,0.000000,0.000000
53,0.000000,0.000000
54,0.000000,0.000000
55,0.000000,0.000000
56,0.000000,0.000000
57,0.000000,0.000000
58,0.000000,0.000000
59,0.000000,0.000000
60,0.000000,0.000000
61,0.000000,0.000000
62,0.000000,0.000000
63,0.000000,0.000000
64,0.000000,0.000000
65,0.000000,0.000000
66,0.000000,0.000000
67,0.000000,0.000000
68,0.000000,0.000000
69,0.000000,0.000000
70,0.000000,0.000000
71,0.000000,0.000000
72,0.000000,0.000000
73,0.000000,0.000000
74,0.000000,0.000000
75,0.000000,0.000000
76,0.000000,0.000000
77,0.000000,0.000000
78,0.000000,0.000000
79,0.000000,0.000000
80,0.000000,0.000000
81,0.000000,0.000000
82,0.000000,0.000000
83,0.000000,0.000000
84,0.000000,0.000000
85,0.000000,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.000000,0.000000
89,0.000000,0.000000
90,0.000000,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000000,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000000,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
